,Player,#,Nation,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Date,Team,Opponent
146,Martin D̼bravka,1.0,sk SVK,GK,90,23,18,23,0,0,0,12,0,0,,0,0,8,44,27,6,6,100.0,0,0,07/20/20,Newcastle Utd,Brighton
147,Raul Jimenez,9.0,mx MEX,FW,90,35,2,2,14,20,5,35,3,5,60.0,3,0,17,96,64,39,26,66.7,1,1,07/20/20,Wolves,Crystal Palace
148,Daniel Podence,10.0,pt POR,AM,71,35,0,5,17,16,4,34,2,3,66.7,3,0,19,124,57,35,24,68.6,1,0,07/20/20,Wolves,Crystal Palace
149,Diogo Jota,18.0,pt POR,AM,19,7,0,1,4,2,0,7,0,0,,0,0,4,23,16,10,5,50.0,0,0,07/20/20,Wolves,Crystal Palace
150,Adama Traore,37.0,es ESP,AM,80,36,0,1,20,19,3,36,5,5,100.0,5,0,36,414,220,35,31,88.6,3,1,07/20/20,Wolves,Crystal Palace
151,Pedro Neto,7.0,pt POR,AM,10,9,0,0,3,6,0,9,0,3,0.0,1,0,8,43,15,8,7,87.5,0,0,07/20/20,Wolves,Crystal Palace
152,Joao Moutinho,28.0,pt POR,DM,90,76,2,11,46,21,0,64,0,0,,0,0,42,186,100,56,55,98.2,1,0,07/20/20,Wolves,Crystal Palace
153,Ruben Neves,8.0,pt POR,DM,90,80,4,18,55,8,0,76,0,0,,0,0,47,124,55,48,47,97.9,0,0,07/20/20,Wolves,Crystal Palace
154,Jonny,19.0,es ESP,WB,90,65,0,7,36,27,2,53,4,6,66.7,4,0,42,278,182,46,41,89.1,1,3,07/20/20,Wolves,Crystal Palace
155,Matt Doherty,2.0,ie IRL,WB,90,82,3,16,45,25,3,74,1,1,100.0,1,1,48,181,97,57,53,93.0,1,2,07/20/20,Wolves,Crystal Palace
