,Player,#,Nation,Pos,Min,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out.1,Int,Blocks,Date,Team,Opponent
55,Jack Stephens,5.0,eng ENG,CB,90,38,37,1,1,0,5,0,2,0,0,0,0,24,5,9,2,31,2,0,0,30,0,0,0,1,07/19/20,Southampton,Bournemouth
56,Kyle Walker-Peters,24.0,eng ENG,RB,90,46,33,13,2,0,4,0,0,0,0,0,0,28,6,12,4,29,1,11,0,37,0,1,1,0,07/19/20,Southampton,Bournemouth
57,Alex McCarthy,1.0,eng ENG,GK,90,40,27,13,6,0,3,1,0,0,0,0,0,7,4,29,4,27,0,0,6,21,0,3,0,0,07/19/20,Southampton,Bournemouth
58,Harry Kane,10.0,eng ENG,FW,90,12,12,0,0,1,5,0,0,0,0,0,0,5,4,3,0,10,1,0,0,6,1,0,1,1,07/19/20,Tottenham,Leicester City
59,Son Heung-Min,7.0,kr KOR,LW,88,15,13,2,1,0,2,0,2,1,1,0,0,9,3,3,2,12,1,0,0,12,0,1,1,0,07/19/20,Tottenham,Leicester City
60,Gedson Fernandes,30.0,pt POR,LW,2,2,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,07/19/20,Tottenham,Leicester City
61,Lucas Moura,27.0,br BRA,RW,76,13,13,0,0,1,5,0,0,0,0,0,0,7,3,3,2,8,1,0,0,11,0,0,0,0,07/19/20,Tottenham,Leicester City
62,Steven Bergwijn,23.0,nl NED,RW,14,9,9,0,0,0,4,0,0,0,0,0,0,6,1,2,0,8,1,0,0,6,0,1,0,1,07/19/20,Tottenham,Leicester City
63,Giovani Lo Celso,18.0,ar ARG,CM,76,28,23,5,2,0,5,1,4,3,3,0,0,17,3,8,25,3,0,0,0,19,1,0,0,2,07/19/20,Tottenham,Leicester City
64,Erik Lamela,11.0,ar ARG,CM,14,5,5,0,0,0,1,0,0,0,0,0,0,3,2,0,4,1,0,0,0,3,0,0,1,1,07/19/20,Tottenham,Leicester City
65,Moussa Sissoko,17.0,fr FRA,CM,90,31,31,0,0,0,4,0,1,0,0,0,0,20,6,5,6,24,1,0,0,20,0,1,0,2,07/19/20,Tottenham,Leicester City
66,Harry Winks,8.0,eng ENG,DM,89,31,30,1,0,1,9,1,1,0,0,0,0,21,5,5,9,21,1,0,0,23,0,1,0,2,07/19/20,Tottenham,Leicester City
67,Oliver Skipp,29.0,eng ENG,DM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/19/20,Tottenham,Leicester City
68,Ben Davies,33.0,wal WAL,LB,90,34,31,3,0,0,7,1,1,0,0,0,0,20,5,9,25,4,0,3,0,22,1,1,0,2,07/19/20,Tottenham,Leicester City
69,Toby Alderweireld,4.0,be BEL,CB,90,25,23,2,2,0,3,1,0,0,0,0,0,15,1,9,8,14,2,0,0,17,1,1,0,1,07/19/20,Tottenham,Leicester City
70,Davinson Sanchez,6.0,co COL,CB,90,29,29,0,0,0,4,2,0,0,0,0,0,21,3,5,7,20,0,0,0,23,0,0,0,1,07/19/20,Tottenham,Leicester City
71,Serge Aurier,24.0,ci CIV,RB,90,45,32,13,3,0,8,1,1,0,0,0,0,21,12,12,6,24,1,10,0,35,0,0,2,4,07/19/20,Tottenham,Leicester City
72,Hugo Lloris,1.0,fr FRA,GK,90,25,16,9,2,0,0,3,0,0,0,0,0,4,2,19,16,2,0,0,4,14,0,0,0,0,07/19/20,Tottenham,Leicester City
73,Jamie Vardy,9.0,eng ENG,FW,90,17,17,0,0,0,3,0,0,0,0,0,0,8,6,3,1,11,3,0,0,9,0,0,1,1,07/19/20,Leicester City,Tottenham
