,Player,#,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,Date,Team,Opponent
68,Ben Foster,26,eng ENG,GK,90,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,13,24,54.2,401,12,29,0,0,8/10/19,Watford,Brighton
69,Glenn Murray,17,eng ENG,FW,63,0,0,0,0,0,0,0,0,16,9,0,0,3,0,0,0,0,0,5,7,71.4,48,10,12,0,0,8/10/19,Brighton,Watford
70,Neal Maupay,7,fr FRA,FW,27,1,0,0,0,1,1,0,0,11,5,0,0,1,0.4,0.4,0,1,1,6,6,100,15,7,23,1,1,8/10/19,Brighton,Watford
71,JÃ¼rgen Locadia,9,nl NED,AM,63,0,0,0,0,1,1,0,0,22,8,0,0,0,0.1,0.1,0,1,0,8,15,53.3,8,17,48,1,1,8/10/19,Brighton,Watford
72,Florin Andone,10,ro ROU,AM,27,1,0,0,0,1,1,0,0,10,5,1,0,1,0.2,0.2,0,0,0,3,4,75,0,5,36,1,2,8/10/19,Brighton,Watford
73,Pascal Gross,13,de GER,AM,90,0,0,0,0,0,0,0,0,51,15,2,0,1,0,0,0,2,1,32,44,72.7,185,30,34,0,0,8/10/19,Brighton,Watford
74,Dale Stephens,6,eng ENG,DM,90,0,0,0,0,0,0,0,0,54,24,3,1,1,0,0,0,1,0,34,40,85,143,36,16,0,0,8/10/19,Brighton,Watford
75,Davy Propper,24,nl NED,DM,90,0,1,0,0,1,0,0,0,56,18,0,0,3,0,0,0.2,1,1,41,47,87.2,219,36,75,0,1,8/10/19,Brighton,Watford
76,Solly March,20,eng ENG,WB,89,0,0,0,0,0,0,0,0,52,12,4,3,0,0,0,0,0,0,40,46,87,199,35,126,1,1,8/10/19,Brighton,Watford
77,Bernardo,30,br BRA,WB,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,4,100,0,4,18,1,1,8/10/19,Brighton,Watford
78,Martin Montoya,22,es ESP,WB,90,0,0,0,0,0,0,0,0,62,13,2,1,1,0,0,0.1,2,1,32,48,66.7,273,46,113,3,3,8/10/19,Brighton,Watford
79,Dan Burn,33,eng ENG,CB,90,0,0,0,0,0,0,0,0,76,11,0,1,1,0,0,0,0,0,49,60,81.7,318,47,129,0,1,8/10/19,Brighton,Watford
80,Lewis Dunk,5,eng ENG,CB,90,0,1,0,0,0,0,1,0,71,11,2,2,3,0,0,0.4,1,1,53,57,93,429,44,115,0,0,8/10/19,Brighton,Watford
81,Shane Duffy,4,ie IRL,CB,90,0,0,0,0,0,0,0,0,66,14,3,2,2,0,0,0,0,0,36,47,76.6,201,31,116,0,0,8/10/19,Brighton,Watford
82,Mathew Ryan,1,au AUS,GK,90,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,26,39,66.7,415,20,35,0,0,8/10/19,Brighton,Watford
83,Ashley Barnes,10,at AUT,FW,83,2,0,0,0,4,3,0,0,27,15,0,0,1,0.5,0.5,0,1,0,13,18,72.2,46,20,38,5,5,8/10/19,Burnley,Southampton
84,Jay Rodriguez,19,eng ENG,FW,7,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,,0,2,0,0,0,8/10/19,Burnley,Southampton
85,Chris Wood,9,nz NZL,FW,90,0,0,0,0,1,0,0,0,27,24,0,0,1,0,0,0,0,0,5,16,31.3,17,14,15,1,1,8/10/19,Burnley,Southampton
86,Dwight McNeil,11,eng ENG,CM,83,0,0,0,0,0,0,0,0,32,13,4,1,1,0,0,0,0,0,13,20,65,105,29,104,6,7,8/10/19,Burnley,Southampton
87,Aaron Lennon,25,eng ENG,CM,7,0,0,0,0,0,0,0,0,4,5,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,8/10/19,Burnley,Southampton
88,Ashley Westwood,18,eng ENG,CM,90,0,0,0,0,0,0,0,0,41,21,2,0,1,0,0,0.1,3,1,20,34,58.8,99,22,16,0,2,8/10/19,Burnley,Southampton
89,Jack Cork,4,eng ENG,CM,90,0,0,0,0,0,0,0,0,43,16,1,1,2,0,0,0,1,0,25,36,69.4,63,22,15,0,0,8/10/19,Burnley,Southampton
90,Johann Gudmundsson,7,is ISL,CM,90,1,0,0,0,2,1,0,0,25,22,2,2,2,0.1,0.1,0,0,0,6,15,40,33,18,103,2,3,8/10/19,Burnley,Southampton
91,Erik Pieters,23,nl NED,LB,90,0,2,0,0,1,0,0,0,92,7,4,2,2,0,0,0.3,2,2,42,68,61.8,430,38,110,0,1,8/10/19,Burnley,Southampton
92,Ben Mee,6,eng ENG,CB,90,0,0,0,0,0,0,0,0,60,4,2,3,3,0,0,0,0,0,24,30,80,185,24,51,0,0,8/10/19,Burnley,Southampton
93,James Tarkowski,5,eng ENG,CB,90,0,0,0,0,1,0,0,0,55,5,2,2,2,0,0,0,1,1,21,29,72.4,196,20,41,1,1,8/10/19,Burnley,Southampton
94,Matthew Lowton,2,eng ENG,RB,90,0,0,0,0,0,0,0,0,51,8,4,2,1,0,0,0,1,0,27,42,64.3,232,17,81,2,3,8/10/19,Burnley,Southampton
95,Nick Pope,1,eng ENG,GK,90,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,1,0,18,37,48.6,706,19,56,0,0,8/10/19,Burnley,Southampton
96,Che Adams,10,eng ENG,FW,72,0,0,0,0,2,0,0,0,25,15,0,0,0,0.3,0.3,0,1,0,7,12,58.3,8,18,68,1,3,8/10/19,Southampton,Burnley
97,Sofiane Boufal,19,ma MAR,LW,18,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0.1,1,0,8,9,88.9,31,10,34,1,2,8/10/19,Southampton,Burnley
98,Nathan Redmond,22,eng ENG,"AM,FW",90,0,0,0,0,2,1,0,0,46,25,0,0,1,0.1,0.1,0,4,0,30,35,85.7,97,36,211,3,3,8/10/19,Southampton,Burnley
99,Danny Ings,9,eng ENG,AM,65,0,0,0,0,0,0,0,0,25,37,1,0,2,0,0,0,1,0,11,18,61.1,52,15,57,0,0,8/10/19,Southampton,Burnley
100,Michael Obafemi,20,ie IRL,"RW,AM",25,0,0,0,0,0,0,0,0,11,5,0,0,1,0,0,0,0,0,3,5,60,1,10,30,1,3,8/10/19,Southampton,Burnley
101,James Ward-Prowse,16,eng ENG,"DM,CM",90,0,0,0,0,2,1,0,0,61,30,1,1,0,0,0,0,2,0,36,54,66.7,293,31,30,0,0,8/10/19,Southampton,Burnley
102,Oriol Romeu,14,es ESP,DM,90,0,0,0,0,3,0,0,0,57,26,3,2,0,0.1,0.1,0,1,0,34,42,81,243,27,81,0,1,8/10/19,Southampton,Burnley
103,Ryan Bertrand,21,eng ENG,"WB,LB",90,0,0,0,0,1,0,0,0,52,13,2,1,0,0.1,0.1,0,0,0,28,39,71.8,187,24,88,1,3,8/10/19,Southampton,Burnley
104,Yan Valery,43,fr FRA,"WB,RB",90,0,0,0,0,0,0,0,0,57,22,1,0,3,0,0,0.3,1,0,24,36,66.7,216,26,137,2,5,8/10/19,Southampton,Burnley
105,Jannik Vestergaard,4,dk DEN,CB,90,0,0,0,0,1,1,0,0,57,8,2,1,2,0.1,0.1,0,0,0,29,45,64.4,157,21,65,0,0,8/10/19,Southampton,Burnley
106,Jack Stephens,5,eng ENG,CB,72,0,0,0,0,0,0,0,0,45,8,0,0,1,0,0,0,0,0,24,32,75,129,21,23,0,0,8/10/19,Southampton,Burnley
107,Pierre-Emile Hojbjerg,23,dk DEN,"CM,CB",18,0,0,0,0,0,0,0,0,12,2,1,0,0,0,0,0,0,0,9,11,81.8,62,9,12,0,0,8/10/19,Southampton,Burnley
108,Jan Bednarek,35,pl POL,CB,90,0,0,0,0,1,0,0,0,65,8,0,3,2,0.1,0.1,0.1,1,0,31,43,72.1,254,22,46,0,0,8/10/19,Southampton,Burnley
109,Angus Gunn,28,eng ENG,GK,90,0,0,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,9,31,29,281,15,57,0,0,8/10/19,Southampton,Burnley
110,Callum Wilson,13,eng ENG,FW,89,0,0,0,0,1,1,0,0,21,19,0,0,1,0.4,0.4,0,1,1,6,14,42.9,29,16,45,0,0,8/10/19,Bournemouth,Sheffield Utd
111,Dominic Solanke,9,eng ENG,FW,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,0,1,0,0,0,8/10/19,Bournemouth,Sheffield Utd
112,Ryan Fraser,24,sco SCO,AM,90,0,0,0,0,1,0,1,0,39,11,0,0,0,0.1,0.1,0,4,0,26,35,74.3,100,32,145,0,1,8/10/19,Bournemouth,Sheffield Utd
113,Joshua King,7,no NOR,AM,90,0,0,0,0,1,0,0,0,40,24,0,0,1,0.1,0.1,0,1,0,14,24,58.3,55,31,64,3,8,8/10/19,Bournemouth,Sheffield Utd
114,Jefferson Lerma,8,co COL,DM,90,0,0,0,0,2,0,0,0,65,22,3,0,2,0.1,0.1,0,1,0,37,54,68.5,193,46,114,1,1,8/10/19,Bournemouth,Sheffield Utd
115,Philip Billing,29,dk DEN,DM,90,0,0,0,0,2,1,0,0,66,23,5,4,2,0.1,0.1,0.2,3,0,46,53,86.8,146,42,53,0,0,8/10/19,Bournemouth,Sheffield Utd
