,Player,#,Nation,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,KP,1/3,PPA,CrsPA,Prog,Date,Team,Opponent
105,Dominic Calvert-Lewin,9.0,eng ENG,FW,90,6,9,66.7,93,42,0,0,,6,8,75.0,0,1,0.0,0,0.0,0,1,2,0,3,07/20/20,Everton,Sheffield Utd
106,Gylfi Sigurdsson,10.0,is ISL,CM,87,23,28,82.1,420,147,0,1,0.0,18,20,90.0,5,7,71.4,1,0.1,3,4,1,0,5,07/20/20,Everton,Sheffield Utd
107,Seamus Coleman,23.0,ie IRL,"CM,RB",3,0,2,0.0,0,0,0,1,0.0,0,0,,0,1,0.0,0,0.0,0,0,0,0,0,07/20/20,Everton,Sheffield Utd
108,Theo Walcott,11.0,eng ENG,CM,83,14,21,66.7,296,63,0,1,0.0,8,11,72.7,6,9,66.7,0,0.1,1,0,1,1,1,07/20/20,Everton,Sheffield Utd
109,Anthony Gordon,42.0,eng ENG,CM,7,1,2,50.0,12,0,0,0,,1,1,100.0,0,1,0.0,0,0.0,0,0,0,0,0,07/20/20,Everton,Sheffield Utd
110,Tom Davies,26.0,eng ENG,DM,90,23,37,62.2,548,95,0,2,0.0,14,21,66.7,9,14,64.3,0,0.0,0,0,0,0,1,07/20/20,Everton,Sheffield Utd
111,Andre Gomes,21.0,pt POR,DM,90,36,42,85.7,973,235,1,2,50.0,21,22,95.5,14,18,77.8,0,0.0,0,5,0,0,6,07/20/20,Everton,Sheffield Utd
112,Lucas Digne,12.0,fr FRA,LB,90,46,61,75.4,853,351,1,3,33.3,34,40,85.0,11,18,61.1,0,0.0,0,1,0,0,6,07/20/20,Everton,Sheffield Utd
113,Jarrad Branthwaite,32.0,eng ENG,CB,90,42,54,77.8,1072,288,1,2,50.0,24,29,82.8,17,23,73.9,0,0.0,0,1,0,0,0,07/20/20,Everton,Sheffield Utd
114,Michael Keane,5.0,eng ENG,CB,90,57,66,86.4,1166,312,0,1,0.0,44,49,89.8,13,16,81.3,0,0.0,0,0,0,0,0,07/20/20,Everton,Sheffield Utd
115,Djibril Sidibe,19.0,fr FRA,RB,90,62,69,89.9,1541,482,0,0,,45,49,91.8,17,20,85.0,0,0.0,0,2,0,0,6,07/20/20,Everton,Sheffield Utd
116,Jordan Pickford,1.0,eng ENG,GK,90,40,55,72.7,1163,657,0,0,,21,21,100.0,19,34,55.9,0,0.1,1,2,0,0,0,07/20/20,Everton,Sheffield Utd
117,Neal Maupay,7.0,fr FRA,FW,72,10,15,66.7,135,21,0,1,0.0,10,14,71.4,0,0,,0,0.1,1,2,0,0,1,07/20/20,Brighton,Newcastle Utd
118,Glenn Murray,17.0,eng ENG,FW,18,1,1,100.0,16,0,0,0,,1,1,100.0,0,0,,0,0.0,0,0,0,0,0,07/20/20,Brighton,Newcastle Utd
119,Aaron Mooy,18.0,au AUS,LW,57,27,29,93.1,375,52,1,2,50.0,24,25,96.0,2,2,100.0,0,0.0,0,2,0,0,2,07/20/20,Brighton,Newcastle Utd
120,Solly March,20.0,eng ENG,LW,33,15,20,75.0,262,76,0,1,0.0,12,13,92.3,3,6,50.0,0,0.0,1,1,1,1,2,07/20/20,Brighton,Newcastle Utd
121,Pascal Gross,13.0,de GER,RW,57,26,32,81.3,494,174,0,0,,19,19,100.0,7,13,53.8,0,0.1,3,3,0,0,7,07/20/20,Brighton,Newcastle Utd
122,Alexis Mac Allister,10.0,ar ARG,RW,33,10,14,71.4,206,17,0,0,,8,9,88.9,2,5,40.0,0,0.0,0,1,0,0,1,07/20/20,Brighton,Newcastle Utd
123,Leandro Trossard,11.0,be BEL,AM,90,18,25,72.0,259,121,0,0,,17,24,70.8,1,1,100.0,0,0.1,2,4,2,0,7,07/20/20,Brighton,Newcastle Utd
124,Dale Stephens,6.0,eng ENG,DM,90,52,56,92.9,1033,207,2,3,66.7,38,39,97.4,12,14,85.7,0,0.0,0,8,0,0,6,07/20/20,Brighton,Newcastle Utd
125,Yves Bissouma,8.0,ml MLI,DM,72,40,45,88.9,843,116,0,1,0.0,29,31,93.5,11,13,84.6,0,0.0,0,4,0,0,1,07/20/20,Brighton,Newcastle Utd
126,Davy Propper,24.0,nl NED,DM,18,9,10,90.0,188,54,0,0,,7,8,87.5,2,2,100.0,0,0.0,1,2,0,0,2,07/20/20,Brighton,Newcastle Utd
127,Dan Burn,33.0,eng ENG,LB,90,59,72,81.9,990,256,0,1,0.0,51,58,87.9,8,13,61.5,0,0.0,0,6,0,0,5,07/20/20,Brighton,Newcastle Utd
128,Lewis Dunk,5.0,eng ENG,CB,90,81,84,96.4,1980,463,1,1,100.0,42,42,100.0,38,41,92.7,0,0.1,1,5,0,0,6,07/20/20,Brighton,Newcastle Utd
