,Player,#,Nation,Pos,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Date,Team,Opponent
120,Solly March,20.0,eng ENG,LW,33,0,0,0,0,0,0,1,0.0,1,4,0,0.0,3,1,0,1,0,0,1,0,,0,0,07/20/20,Brighton,Newcastle Utd
121,Pascal Gross,13.0,de GER,RW,57,0,0,0,0,0,0,1,0.0,1,12,0,0.0,3,5,4,0,0,0,0,0,,0,0,07/20/20,Brighton,Newcastle Utd
122,Alexis Mac Allister,10.0,ar ARG,RW,33,1,0,0,1,0,1,1,100.0,0,11,1,9.1,3,7,1,2,0,0,2,0,,0,0,07/20/20,Brighton,Newcastle Utd
123,Leandro Trossard,11.0,be BEL,AM,90,0,0,0,0,0,0,1,0.0,1,11,2,18.2,0,7,4,1,0,0,1,1,,1,0,07/20/20,Brighton,Newcastle Utd
124,Dale Stephens,6.0,eng ENG,DM,90,2,2,0,1,1,0,2,0.0,2,14,4,28.6,6,7,1,2,0,0,2,2,,3,0,07/20/20,Brighton,Newcastle Utd
125,Yves Bissouma,8.0,ml MLI,DM,72,2,1,1,1,0,0,0,,0,8,2,25.0,4,4,0,1,0,0,1,1,,1,0,07/20/20,Brighton,Newcastle Utd
126,Davy Propper,24.0,nl NED,DM,18,0,0,0,0,0,0,0,,0,5,0,0.0,4,1,0,1,1,0,0,0,,0,0,07/20/20,Brighton,Newcastle Utd
127,Dan Burn,33.0,eng ENG,LB,90,3,1,1,2,0,2,4,50.0,2,14,2,14.3,7,7,0,4,1,0,3,1,,8,0,07/20/20,Brighton,Newcastle Utd
128,Lewis Dunk,5.0,eng ENG,CB,90,0,0,0,0,0,0,1,0.0,1,5,1,20.0,3,2,0,1,1,0,0,1,,7,0,07/20/20,Brighton,Newcastle Utd
129,Adam Webster,15.0,eng ENG,"CB,RB",90,1,1,0,0,1,0,0,,0,4,1,25.0,3,1,0,2,2,0,0,2,,5,0,07/20/20,Brighton,Newcastle Utd
130,Tariq Lamptey,2.0,eng ENG,RB,85,0,0,0,0,0,0,2,0.0,2,11,4,36.4,4,4,3,3,0,0,3,3,,1,0,07/20/20,Brighton,Newcastle Utd
131,Shane Duffy,4.0,ie IRL,"CB,RB",5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,1,0,07/20/20,Brighton,Newcastle Utd
132,Mathew Ryan,1.0,au AUS,GK,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0,07/20/20,Brighton,Newcastle Utd
133,Dwight Gayle,12.0,eng ENG,FW,73,1,1,1,0,0,0,1,0.0,1,10,4,40.0,1,7,2,0,0,0,0,0,,0,0,07/20/20,Newcastle Utd,Brighton
134,Andy Carroll,7.0,eng ENG,FW,17,0,0,0,0,0,0,0,,0,1,1,100.0,0,0,1,0,0,0,0,0,,0,0,07/20/20,Newcastle Utd,Brighton
135,Allan Saint-Maximin,10.0,fr FRA,FW,73,1,1,1,0,0,0,0,,0,9,1,11.1,2,5,2,0,0,0,0,1,,0,0,07/20/20,Newcastle Utd,Brighton
136,Joelinton,9.0,br BRA,FW,17,0,0,0,0,0,0,0,,0,1,1,100.0,0,0,1,0,0,0,0,0,,0,0,07/20/20,Newcastle Utd,Brighton
137,Miguel Almiron,24.0,py PAR,CM,85,6,6,2,1,3,0,1,0.0,1,16,7,43.8,7,4,5,0,0,0,0,0,,0,0,07/20/20,Newcastle Utd,Brighton
138,Valentino Lazaro,23.0,at AUT,CM,5,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,,0,0,07/20/20,Newcastle Utd,Brighton
139,Jonjo Shelvey,8.0,eng ENG,CM,90,1,0,1,0,0,0,3,0.0,3,11,0,0.0,5,4,2,0,0,0,0,0,,0,0,07/20/20,Newcastle Utd,Brighton
140,Nabil Bentaleb,42.0,dz ALG,DM,90,2,1,2,0,0,0,1,0.0,1,17,3,17.6,5,12,0,2,0,0,2,3,,2,0,07/20/20,Newcastle Utd,Brighton
141,Matt Ritchie,11.0,sco SCO,WB,90,2,2,1,1,0,1,1,100.0,0,9,3,33.3,4,2,3,2,0,0,2,1,,2,0,07/20/20,Newcastle Utd,Brighton
142,Javier Manquillo,19.0,es ESP,WB,90,0,0,0,0,0,0,1,0.0,1,7,2,28.6,3,2,2,1,0,0,1,1,,3,0,07/20/20,Newcastle Utd,Brighton
143,Danny Rose,28.0,eng ENG,CB,90,3,1,2,1,0,0,0,,0,10,4,40.0,9,1,0,0,0,0,0,4,,1,0,07/20/20,Newcastle Utd,Brighton
144,Federico Fernandez,18.0,ar ARG,CB,90,1,1,1,0,0,0,0,,0,0,0,,0,0,0,2,0,0,2,1,,6,0,07/20/20,Newcastle Utd,Brighton
145,Emil Krafth,17.0,se SWE,CB,90,2,0,2,0,0,0,0,,0,9,5,55.6,7,2,0,5,2,0,3,0,,5,0,07/20/20,Newcastle Utd,Brighton
