,Player,#,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,Date,Team,Opponent
60,Gedson Fernandes,30.0,pt POR,LW,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,17,3,7,0,0,07/19/20,Tottenham,Leicester City
61,Lucas Moura,27.0,br BRA,RW,76,0,2,0,0,0,0,1,0,22,18,2,0,1,0.0,0.0,0.3,5,2,11,13,84.6,170,15,110,2,3,07/19/20,Tottenham,Leicester City
62,Steven Bergwijn,23.0,nl NED,RW,14,0,0,0,0,0,0,0,0,10,2,0,0,0,0.0,0.0,0.0,0,0,6,9,66.7,9,6,37,0,0,07/19/20,Tottenham,Leicester City
63,Giovani Lo Celso,18.0,ar ARG,CM,76,0,0,0,0,0,0,0,0,41,19,5,1,2,0.0,0.0,0.0,3,1,19,28,67.9,73,23,133,2,2,07/19/20,Tottenham,Leicester City
64,Erik Lamela,11.0,ar ARG,CM,14,0,0,0,0,0,0,0,0,7,2,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,3,3,5,0,0,07/19/20,Tottenham,Leicester City
65,Moussa Sissoko,17.0,fr FRA,CM,90,0,0,0,0,0,0,0,0,40,10,0,1,1,0.0,0.0,0.0,0,0,20,31,64.5,69,27,41,3,3,07/19/20,Tottenham,Leicester City
66,Harry Winks,8.0,eng ENG,DM,89,0,0,0,0,0,0,0,0,34,9,1,1,0,0.0,0.0,0.1,1,0,23,31,74.2,160,26,93,0,0,07/19/20,Tottenham,Leicester City
67,Oliver Skipp,29.0,eng ENG,DM,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,07/19/20,Tottenham,Leicester City
68,Ben Davies,33.0,wal WAL,LB,90,0,0,0,0,0,0,0,0,47,9,3,1,4,0.0,0.0,0.0,0,0,22,34,64.7,195,19,92,0,0,07/19/20,Tottenham,Leicester City
69,Toby Alderweireld,4.0,be BEL,CB,90,0,0,0,0,1,0,0,0,35,4,1,0,1,0.0,0.0,0.0,0,0,17,25,68.0,72,13,21,0,0,07/19/20,Tottenham,Leicester City
