,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Date,Team,Opponent
105,Jorginho,5.0,it ITA,DM,26-234,90,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,,08/11/2018,Chelsea,Huddersfield
106,Marcos Alonso,3.0,es ESP,LB,27-226,90,0,0,0,1,1,0,2,2,1,1,0,0,9,1,2,33.3,08/11/2018,Chelsea,Huddersfield
107,David Luiz,30.0,br BRA,CB,31-111,90,1,0,0,1,1,0,0,2,1,0,0,0,17,2,2,50.0,08/11/2018,Chelsea,Huddersfield
108,Antonio RÃ¼diger,2.0,de GER,CB,25-161,90,0,0,0,0,0,0,0,1,1,0,0,0,15,3,1,75.0,08/11/2018,Chelsea,Huddersfield
109,CÃ©sar Azpilicueta,28.0,es ESP,RB,28-348,90,0,0,0,0,0,0,1,1,1,0,0,0,14,0,2,0.0,08/11/2018,Chelsea,Huddersfield
110,Kepa Arrizabalaga,1.0,es ESP,GK,23-312,90,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,,08/11/2018,Chelsea,Huddersfield
111,Joshua King,17.0,no NOR,FW,26-208,90,0,0,0,0,1,0,4,0,0,0,0,0,6,1,2,33.3,08/11/2018,Bournemouth,Cardiff City
112,Callum Wilson,13.0,eng ENG,FW,26-165,89,0,0,0,1,1,0,3,1,0,1,0,0,3,0,1,0.0,08/11/2018,Bournemouth,Cardiff City
113,Lys Mousset,9.0,fr FRA,FW,22-184,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,08/11/2018,Bournemouth,Cardiff City
114,Ryan Fraser,24.0,sco SCO,LM,24-168,90,0,0,0,0,4,0,1,0,0,0,0,0,8,0,0,,08/11/2018,Bournemouth,Cardiff City
115,Dan Gosling,4.0,eng ENG,CM,28-191,90,0,0,0,0,0,0,0,0,0,0,0,0,23,1,2,33.3,08/11/2018,Bournemouth,Cardiff City
116,Andrew Surman,6.0,eng ENG,CM,31-356,90,0,0,0,2,0,0,2,0,0,0,0,0,15,2,3,40.0,08/11/2018,Bournemouth,Cardiff City
117,David Brooks,20.0,wal WAL,RM,21-034,66,0,0,0,1,1,0,0,0,1,0,0,0,6,2,1,66.7,08/11/2018,Bournemouth,Cardiff City
118,Simon Francis,2.0,eng ENG,RB,33-176,24,0,0,0,2,0,0,2,0,0,0,0,0,3,2,0,100.0,08/11/2018,Bournemouth,Cardiff City
119,Charlie Daniels,11.0,eng ENG,LB,31-338,90,1,0,0,1,0,0,1,0,0,0,0,0,23,2,2,50.0,08/11/2018,Bournemouth,Cardiff City
120,Nathan AkÃ©,5.0,nl NED,CB,23-174,90,0,0,0,0,0,0,0,0,0,0,0,0,11,1,2,33.3,08/11/2018,Bournemouth,Cardiff City
121,Steve Cook,3.0,eng ENG,CB,27-114,90,0,0,0,3,0,0,0,0,0,0,0,0,21,4,5,44.4,08/11/2018,Bournemouth,Cardiff City
122,Adam Smith,15.0,eng ENG,"RB,RM",27-104,89,0,0,0,1,1,0,0,0,1,0,0,0,10,0,2,0.0,08/11/2018,Bournemouth,Cardiff City
123,Jermain Defoe,18.0,eng ENG,RM,35-308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,08/11/2018,Bournemouth,Cardiff City
124,Asmir BegoviÄ,27.0,ba BIH,GK,31-052,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,08/11/2018,Bournemouth,Cardiff City
