,Pos,avg_war_won,total_war_won,pos_war_lost,total_war_lost,total_player_war
Jeffrey Schlupp,D,-0.019000000000000017,-0.20900000000000019,-0.027000000000000024,-0.7290000000000006,-0.9380000000000008
Jose Holebas,D,-0.019000000000000017,-0.20900000000000019,-0.027000000000000024,-0.7290000000000006,-0.9380000000000008
Fikayo Tomori,D,-0.02200000000000002,-0.3300000000000003,-0.027000000000000024,-0.6210000000000006,-0.9510000000000008
James McArthur,M,-0.025000000000000022,-0.9250000000000008,-0.031000000000000028,-0.031000000000000028,-0.9560000000000008
Sander Berge,M,-0.010000000000000009,-0.10000000000000009,-0.031000000000000028,-0.8680000000000008,-0.9680000000000009
Fabian Balbuena,D,-0.02300000000000002,-0.29900000000000027,-0.027000000000000024,-0.6750000000000006,-0.9740000000000009
Wilfred Ndidi,M,-0.02400000000000002,-0.6960000000000006,-0.031000000000000028,-0.27900000000000025,-0.9750000000000009
Jay Rodriguez,F,-0.02300000000000002,-0.4600000000000004,-0.029000000000000026,-0.5220000000000005,-0.9820000000000009
Grant Hanley,D,-0.025000000000000022,-0.3500000000000003,-0.027000000000000024,-0.6480000000000006,-0.9980000000000009
Andreas Pereira,M,-0.02100000000000002,-0.37800000000000034,-0.031000000000000028,-0.6200000000000006,-0.9980000000000009
Teemu Pukki,F,-0.026000000000000023,-0.8580000000000008,-0.029000000000000026,-0.14500000000000013,-1.003000000000001
Tomas Soucek,M,-0.017000000000000015,-0.20400000000000018,-0.031000000000000028,-0.8060000000000007,-1.010000000000001
Ryan Fraser,M,-0.02300000000000002,-0.48300000000000043,-0.031000000000000028,-0.5270000000000005,-1.010000000000001
Marc Albrighton,M,-0.013000000000000012,-0.1170000000000001,-0.031000000000000028,-0.8990000000000008,-1.016000000000001
Kyle Walker-Peters,D,-0.02200000000000002,-0.02200000000000002,-0.027000000000000024,-0.9990000000000009,-1.0210000000000008
Charlie Taylor,D,-0.027000000000000024,-0.5940000000000005,-0.027000000000000024,-0.4320000000000004,-1.026000000000001
Dwight Gayle,F,-0.02200000000000002,-0.2200000000000002,-0.029000000000000026,-0.8120000000000007,-1.032000000000001
