"","Team.x","Pos","n","num_diff_players","min_total","sd_emp_pts","sd_xpts","mean_emp_pts","mean_xPts","med_emp_pts","med_xPts","total_emp_fpts","total_xPts","mean_minutes","Team_Pos"
"97","NEW","CB",96,7,8488,7.19806289045879,4.5390967093028,5.8046875,4.86010416666667,5,4.81,557.25,466.57,88.4166666666667,"NEW_CB"
"98","NEW","CM",41,9,3506,6.76608291766961,5.5605393228513,8.96341463414634,8.91219512195122,6.5,7.7,367.5,365.4,85.5121951219512,"NEW_CM"
"99","NEW","DM",32,6,2855,5.32965092022466,4.74453181644491,8.4921875,7.5671875,7.5,7.45,271.75,242.15,89.21875,"NEW_DM"
"100","NEW","FW",34,3,2773,5.42547959880095,5.6444947387357,7.44117647058824,8.57058823529412,7.25,7.4,253,291.4,81.5588235294118,"NEW_FW"
"101","NEW","LB",18,3,1555,6.72251424040279,6.09899244330811,3.34722222222222,4.31833333333333,5.25,6.31,60.25,77.73,86.3888888888889,"NEW_LB"
"102","NEW","LW",11,4,904,6.22896460095897,5.05597756036447,11,9.39090909090909,11,9.5,121,103.3,82.1818181818182,"NEW_LW"
"103","NEW","RW",11,3,852,7.68706114785807,4.81091561876833,7.40909090909091,6.59090909090909,6.5,7.1,81.5,72.5,77.4545454545455,"NEW_RW"
"104","NEW","WB",40,8,3484,7.0121117745271,5.47145494642597,7.3875,4.8175,6.625,3.625,295.5,192.7,87.1,"NEW_WB"
"105","NOR","AM",27,3,2188,4.76364437088955,5.26156845095667,6.33333333333333,7.34444444444444,4.5,5.5,171,198.3,81.037037037037,"NOR_AM"
"106","NOR","CB",63,5,5654,4.88961615407105,4.92028568933969,1.34920634920635,2.25015873015873,0.75,2.5,85,141.76,89.7460317460317,"NOR_CB"
"107","NOR","CM",42,9,3588,3.77933742941043,3.41016789379632,5.90476190476191,6.0047619047619,4.5,5.5,248,252.2,85.4285714285714,"NOR_CM"
"108","NOR","DM",27,5,2272,3.47887397049162,3.26131167571483,3.88888888888889,4.2,3.5,4,105,113.4,84.1481481481482,"NOR_DM"
"109","NOR","FW",29,1,2537,9.73633310163584,6.75287751109132,8.22413793103448,8.62758620689655,4.5,7.2,238.5,250.2,87.4827586206897,"NOR_FW"
"110","NOR","LB",32,2,2798,6.59476037588346,5.13801148266211,4.1953125,5.8315625,2.5,5.38,134.25,186.61,87.4375,"NOR_LB"
"111","NOR","LW",22,3,1811,5.20681579623581,4.54032676132094,8.20454545454546,9.18636363636364,6.75,8.2,180.5,202.1,82.3181818181818,"NOR_LW"
"112","NOR","RB",32,2,2880,6.48322412542432,5.42247346213706,3.8671875,5.8659375,3,5.54,123.75,187.71,90,"NOR_RB"
"113","NOR","RW",25,3,2131,8.36535514288943,7.84173237662869,13,13.288,12,13.7,325,332.2,85.24,"NOR_RW"
"114","SHU","CB",94,3,8486,6.00073455524162,5.10925775115992,8.89095744680851,8.61946808510638,8.875,9.005,835.75,810.23,90.2765957446808,"SHU_CB"
"115","SHU","CM",52,3,4571,7.8168777327452,5.80429547536212,9.64903846153846,8.10173076923077,7,8.45,501.75,421.29,87.9038461538462,"SHU_CM"
"116","SHU","DM",31,1,2747,4.31563798097057,4.4729389438823,7.51612903225806,7.64193548387097,7,7.1,233,236.9,88.6129032258064,"SHU_DM"
"117","SHU","FW",50,4,3969,7.59503731634906,6.52089263953383,8.79,9.3,6,8.55,439.5,465,79.38,"SHU_FW"
"118","SHU","WB",47,2,4381,5.14324750640278,5.05707453649984,10.8191489361702,7.16595744680851,11.25,7.52,508.5,336.8,93.2127659574468,"SHU_WB"
"119","SHU","WB,LB",11,1,990,4.09878030638384,4.07731551614317,10,9.34727272727273,9.5,9.2,110,102.82,90,"SHU_WB,LB"
"120","SHU","WB,RB",10,1,900,5.13268394160837,5.64702320794869,7.7,6.896,7.25,5.38,77,68.96,90,"SHU_WB,RB"
"121","SOU","CB",72,3,6445,6.78375392335577,5.60346591688485,6.38194444444444,7.2825,5.125,7.175,459.5,524.34,89.5138888888889,"SOU_CB"
