"","Team","Pos","n","num_diff_players","min_total","sd_emp_pts","sd_xpts","mean_emp_pts","mean_xPts","med_emp_pts","med_xPts","total_emp_fpts","total_xPts","mean_minutes"
"58","EVE","FW",31,3,2542,8.90635269229609,7.27569233301761,10.3387096774194,10.1354838709677,7,7.9,320.5,314.2,82
"59","EVE","LB",20,1,1770,8.97381974353584,6.2191355593252,12.3875,13.7395,14.25,14.255,247.75,274.79,88.5
"60","EVE","RB",20,2,1729,6.62228097132384,5.2025766895382,7.225,9.046,4.75,8.745,144.5,180.92,86.45
"61","EVE","RW",11,3,868,8.65867930303042,4.51186315072932,9.45454545454546,8.69090909090909,6.5,7.1,104,95.6,78.9090909090909
"62","LEI","CB",65,4,5802,6.33696231219295,5.13795299331732,7.66153846153846,7.84276923076923,6.75,7.3,498,509.78,89.2615384615385
"63","LEI","CM",81,6,6566,8.82321660362976,6.07390847786916,9.79012345679012,9.01604938271605,7,8.4,793,730.3,81.0617283950617
"64","LEI","DM",26,3,2291,5.91598226449726,5.01562021626899,8.17307692307692,7.82692307692308,7,7,212.5,203.5,88.1153846153846
"65","LEI","FW",25,2,2240,12.0346721323571,8.92781794915943,14.2,11.848,12.5,9.7,355,296.2,89.6
"66","LEI","LB",20,2,1790,11.7959906212595,8.3386825918979,10.075,10.002,7.25,8.215,201.5,200.04,89.5
"67","LEI","RB",20,1,1800,7.78420930304962,5.79906296877258,10.7875,10.5245,11.375,11.795,215.75,210.49,90
"68","LIV","CB",57,4,5130,6.32298860010776,4.53396642066959,10.2061403508772,9.57947368421053,8.75,8.8,581.75,546.03,90
"69","LIV","CM",42,4,3370,5.54494098250101,3.58713746159927,6.94047619047619,6.66904761904762,6,6.2,291.5,280.1,80.2380952380952
"70","LIV","DM",23,2,2062,4.6611462737164,4.00615632964434,7.89130434782609,7.52608695652174,8,7.7,181.5,173.1,89.6521739130435
"71","LIV","FW",22,2,1942,9.05493694715116,5.03699946757627,12.7954545454545,13.7227272727273,10.25,12.7,281.5,301.9,88.2727272727273
"72","LIV","LB",28,2,2504,7.13250324312772,7.50015670912119,11.2589285714286,10.9960714285714,9.875,8.575,315.25,307.89,89.4285714285714
"73","LIV","LW",17,3,1402,6.97566674021833,6.35231546482902,14.7647058823529,14.0235294117647,15,12.4,251,238.4,82.4705882352941
"74","LIV","RB",26,1,2320,11.5035487835443,10.165053263321,16.2211538461538,14.1596153846154,15.25,12.625,421.75,368.15,89.2307692307692
"75","LIV","RW",19,2,1625,9.99473545633426,7.0867803790121,16.8157894736842,15.2368421052632,20,13.6,319.5,289.5,85.5263157894737
"76","MCI","CB",52,5,4581,6.73588687150411,6.5419607556071,4.23076923076923,5.79346153846154,2.625,6,220,301.26,88.0961538461538
"77","MCI","CM",45,5,3807,9.67554451264432,7.89430622075624,15.5555555555556,14.3755555555556,14.5,12.9,700,646.9,84.6
"78","MCI","DM",21,2,1824,6.13518346836313,4.41761625012102,9.26190476190476,8.53333333333333,8.5,9.1,194.5,179.2,86.8571428571429
"79","MCI","FW",25,2,2071,11.8107648637447,8.27292370729156,16.34,15.272,12.5,12.6,408.5,381.8,82.84
"80","MCI","LB",17,2,1495,6.26307455976507,6.20417376117268,7.91176470588235,8.43294117647059,7.5,8.1,134.5,143.36,87.9411764705882
"81","MCI","LW",20,3,1762,11.0726072620204,7.30543236949485,13.45,13.375,11.5,11.2,269,267.5,88.1
"82","MCI","RB",22,2,1979,8.01372773751905,7.72900469894822,7.44318181818182,9.67227272727273,6.125,8.405,163.75,212.79,89.9545454545455
"83","MCI","RW",19,2,1607,11.1187765955817,7.86246914478089,18.3947368421053,16.7210526315789,17.5,16,349.5,317.7,84.5789473684211
"84","MUN","AM",24,4,1883,7.65820460852849,5.95161651406026,9.3125,9.45,8.5,9,223.5,226.8,78.4583333333333
"85","MUN","CB",56,3,5040,6.4965775205503,5.72916367052263,6.96428571428571,8.685,6.5,9.135,390,486.36,90
"86","MUN","CM",15,3,1297,4.85822817006169,4.6361108495725,7.56666666666667,8.12666666666667,7.5,8.5,113.5,121.9,86.4666666666667
"87","MUN","DM",33,5,2881,5.15048173680988,5.00038256112227,7.60606060606061,8.21515151515151,6.5,7.8,251,271.1,87.3030303030303
"88","MUN","FW",30,3,2553,6.37300791503176,6.33601274235338,10.7166666666667,9.66666666666667,11.5,9.3,321.5,290,85.1
"89","MUN","LB",15,2,1315,7.67048300459688,6.40784437418774,7.58333333333333,9.08866666666667,4.75,8.15,113.75,136.33,87.6666666666667
"90","MUN","LW",13,2,1116,8.7425792708841,9.38019599598414,12.3461538461538,12.1153846153846,12,7.1,160.5,157.5,85.8461538461538
"91","MUN","RB",20,1,1791,6.06244913163683,6.29509625360131,7.875,10.375,8,10.595,157.5,207.5,89.55
"92","NEW","AM",12,3,1016,5.65484506660198,4.87966559957098,8.25,8.575,8.25,8.05,99,102.9,84.6666666666667
"93","NEW","CB",81,6,7147,7.07995017245492,4.31016788077841,6.59259259259259,5.1558024691358,6.5,4.65,534,417.62,88.2345679012346
"94","NEW","CM",29,8,2489,6.48776795245685,6.05817446369055,7.8448275862069,8.21724137931034,5.5,6.4,227.5,238.3,85.8275862068966
"95","NEW","DM",22,4,1964,5.28147132851627,4.59544287725299,9.31818181818182,8.5,8.25,8,205,187,89.2727272727273
"96","NEW","FW",25,2,2105,5.15816504841273,5.29941191705897,7.24,8.428,7,8.8,181,210.7,84.2
"97","NEW","LB",12,2,1043,6.87799521530934,6.44507187819899,3,4.59666666666667,5.5,6.77,36,55.16,86.9166666666667
"98","NEW","WB",39,8,3394,7.05394793796148,5.53832493177608,7.25641025641026,4.78205128205128,6.25,3.5,283,186.5,87.025641025641
