Player,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist,Succ,Att,Match Report
Allan Saint-Maximin,10/27/19,Sun,Matchweek 10,Home,D 1–1,Newcastle Utd,Wolves,Y,LWFW,89,0,0,0,0,3,0,0,0,36,6,0,0,1,0.1,0.1,0,5,0,16,22,72.7,56,34,389,4,8,Match Report
Allan Saint-Maximin,11/2/19,Sat,Matchweek 11,Away,W 3–2,Newcastle Utd,West Ham,Y,CM,76,0,0,0,0,3,3,0,0,28,6,1,1,1,0.8,0.8,0.5,3,1,12,18,66.7,113,31,318,7,7,Match Report
Allan Saint-Maximin,11/9/19,Sat,Matchweek 12,Home,W 2–1,Newcastle Utd,Bournemouth,Y,LW,89,0,0,0,0,2,0,0,0,28,19,1,1,4,0.3,0.3,0.1,9,1,8,15,53.3,11,27,176,5,8,Match Report
Allan Saint-Maximin,11/25/19,Mon,Matchweek 13,Away,L 0–2,Newcastle Utd,Aston Villa,Y,LWCM,90,0,0,0,0,2,1,0,0,43,17,0,1,0,0.1,0.1,0,2,0,15,22,68.2,45,39,308,6,10,Match Report
Allan Saint-Maximin,11/30/19,Sat,Matchweek 14,Home,D 2–2,Newcastle Utd,Manchester City,Y,LW,79,0,0,0,0,1,1,0,0,23,15,1,0,0,0,0,0,1,0,7,15,46.7,25,23,282,4,7,Match Report
Allan Saint-Maximin,12/5/19,Thu,Matchweek 15,Away,W 2–0,Newcastle Utd,Sheffield Utd,Y,LW,80,1,0,0,0,1,1,0,0,31,31,0,0,0,0.1,0.1,0.1,1,0,12,18,66.7,29,30,137,2,6,Match Report
Allan Saint-Maximin,12/8/19,Sun,Matchweek 16,Home,W 2–1,Newcastle Utd,Southampton,Y,AM,90,0,0,0,0,1,1,0,0,36,12,1,0,0,0,0,0.2,4,0,12,17,70.6,19,41,190,8,14,Match Report
Allan Saint-Maximin,1/18/20,Sat,Matchweek 23,Home,W 1–0,Newcastle Utd,Chelsea,Y,AM,90,0,1,0,0,1,0,0,0,33,5,0,0,3,0,0,0.2,2,1,19,24,79.2,90,26,109,2,3,Match Report
Allan Saint-Maximin,2/1/20,Sat,Matchweek 25,Home,D 0–0,Newcastle Utd,Norwich City,Y,LW,78,0,0,0,0,5,3,0,0,42,11,1,0,1,0.2,0.2,0,3,0,20,25,80,36,35,275,2,4,Match Report
Allan Saint-Maximin,2/16/20,Sun,Matchweek 26,Away,L 0–4,Newcastle Utd,Arsenal,Y,AMCM,90,0,0,0,0,2,0,0,0,39,12,0,2,2,0.2,0.2,0.5,7,0,22,26,84.6,109,42,281,8,10,Match Report
Allan Saint-Maximin,2/22/20,Sat,Matchweek 27,Away,L 0–1,Newcastle Utd,Crystal Palace,Y,LW,90,0,0,0,0,3,0,0,0,44,17,2,2,3,0.1,0.1,0,4,0,19,26,73.1,75,37,207,3,3,Match Report
