,Player,#,Nation,Pos,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Date,Team,Opponent
75,N'Golo Kante,7.0,fr FRA,"CM,DM",90,0,0,0,3,0,0,0,0,3,0,0,0,15,1,0,100.0,09/26/20,Chelsea,West Brom
76,Marcos Alonso,3.0,es ESP,LB,45,1,0,0,1,1,0,0,0,0,0,0,0,9,4,1,80.0,09/26/20,Chelsea,West Brom
77,Cesar Azpilicueta,28.0,es ESP,"LB,CB",45,0,0,0,2,0,0,0,0,0,0,0,0,13,3,3,50.0,09/26/20,Chelsea,West Brom
78,Thiago Silva,6.0,br BRA,CB,72,0,0,0,1,0,0,0,1,0,0,0,0,9,0,0,,09/26/20,Chelsea,West Brom
79,Olivier Giroud,18.0,fr FRA,"FW,CB",18,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,,09/26/20,Chelsea,West Brom
80,Andreas Christensen,4.0,dk DEN,CB,90,1,0,0,1,0,0,0,3,2,0,0,0,16,4,1,80.0,09/26/20,Chelsea,West Brom
81,Reece James,24.0,eng ENG,"RB,CB",90,1,0,0,1,1,0,13,0,3,0,0,0,9,1,1,50.0,09/26/20,Chelsea,West Brom
82,Willy Caballero,13.0,ar ARG,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,09/26/20,Chelsea,West Brom
83,Matej Vydra,27.0,cz CZE,FW,90,0,0,0,0,0,1,1,0,0,0,0,0,3,3,10,23.1,09/26/20,Burnley,Southampton
84,Chris Wood,9.0,nz NZL,FW,90,0,0,0,2,0,1,0,0,0,0,0,0,1,7,10,41.2,09/26/20,Burnley,Southampton
85,Dwight McNeil,11.0,eng ENG,LM,90,0,0,0,0,1,0,7,0,1,0,0,0,5,1,0,100.0,09/26/20,Burnley,Southampton
86,Josh Brownhill,8.0,eng ENG,RM,90,0,0,0,1,0,0,1,1,2,0,0,0,14,5,0,100.0,09/26/20,Burnley,Southampton
87,Dale Stephens,16.0,eng ENG,DM,90,0,0,0,2,1,0,0,1,2,0,0,0,22,4,0,100.0,09/26/20,Burnley,Southampton
88,Ashley Westwood,18.0,eng ENG,DM,90,0,0,0,2,3,0,2,1,1,0,0,0,14,0,1,0.0,09/26/20,Burnley,Southampton
89,Charlie Taylor,3.0,eng ENG,LB,90,0,0,0,0,3,0,5,0,0,0,0,0,15,0,0,,09/26/20,Burnley,Southampton
90,Jimmy Dunne,34.0,ie IRL,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,100.0,09/26/20,Burnley,Southampton
91,Kevin Long,28.0,ie IRL,CB,90,0,0,0,0,0,0,1,2,1,0,0,0,25,6,5,54.5,09/26/20,Burnley,Southampton
92,Phil Bardsley,26.0,sco SCO,RB,90,1,0,0,1,2,0,3,1,1,0,0,0,18,3,3,50.0,09/26/20,Burnley,Southampton
93,Nick Pope,1.0,eng ENG,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,09/26/20,Burnley,Southampton
94,Danny Ings,9.0,eng ENG,FW,90,0,0,0,0,1,1,0,0,0,0,0,0,9,2,1,66.7,09/26/20,Southampton,Burnley
95,Che Adams,10.0,eng ENG,FW,76,0,0,0,1,0,0,1,0,1,0,0,0,0,2,5,28.6,09/26/20,Southampton,Burnley
96,Michael Obafemi,14.0,ie IRL,FW,14,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0.0,09/26/20,Southampton,Burnley
97,Moussa Djenepo,12.0,ml MLI,LM,76,0,0,0,3,1,0,0,0,0,0,0,0,8,2,4,33.3,09/26/20,Southampton,Burnley
98,Nathan Tella,23.0,eng ENG,LM,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,09/26/20,Southampton,Burnley
