,Player,#,Nation,Pos,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Date,Team,Opponent
1298,Pascal Struijk,21.0,nl NED,CB,74,0,0,0,0,0,0,0,1,0,0,0,0,9,2,4,33.3,10/19/20,Leeds United,Wolves
1299,Pablo Hernandez,19.0,es ESP,"CB,DM",16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,10/19/20,Leeds United,Wolves
1300,Robin Koch,5.0,de GER,CB,90,0,0,0,3,0,0,0,2,2,0,0,0,18,3,2,60.0,10/19/20,Leeds United,Wolves
1301,Luke Ayling,2.0,eng ENG,RB,90,1,0,0,1,2,0,7,0,1,0,0,0,13,0,0,,10/19/20,Leeds United,Wolves
1302,Illan Meslier,1.0,fr FRA,GK,90,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,,10/19/20,Leeds United,Wolves
1303,Daniel Podence,10.0,pt POR,FW,64,0,0,0,1,2,2,0,0,1,0,0,0,2,0,1,0.0,10/19/20,Wolves,Leeds United
1304,Adama Traore,37.0,es ESP,FW,26,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0.0,10/19/20,Wolves,Leeds United
1305,Raul Jimenez,9.0,mx MEX,FW,90,0,0,0,1,3,0,1,0,1,0,0,0,4,2,4,33.3,10/19/20,Wolves,Leeds United
1306,Pedro Neto,7.0,pt POR,CM,88,0,0,0,2,0,0,1,3,1,0,0,0,4,2,0,100.0,10/19/20,Wolves,Leeds United
1307,Marcal,5.0,br BRA,CM,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,10/19/20,Wolves,Leeds United
1308,Leander Dendoncker,32.0,be BEL,CM,90,0,0,0,2,1,0,1,1,1,0,0,0,7,7,0,100.0,10/19/20,Wolves,Leeds United
1309,Joao Moutinho,28.0,pt POR,DM,81,1,0,0,2,2,0,0,2,3,0,0,0,6,0,0,,10/19/20,Wolves,Leeds United
1310,Ruben Neves,8.0,pt POR,DM,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,10/19/20,Wolves,Leeds United
1311,Romain Saiss,27.0,ma MAR,WB,90,0,0,0,1,1,0,2,1,0,0,0,0,7,1,0,100.0,10/19/20,Wolves,Leeds United
1312,Nelson Semedo,22.0,pt POR,WB,90,0,0,0,1,3,0,0,3,1,0,0,0,9,2,1,66.7,10/19/20,Wolves,Leeds United
1313,Maximilian Kilman,49.0,eng ENG,CB,90,0,0,0,0,0,0,0,3,1,0,0,0,6,1,0,100.0,10/19/20,Wolves,Leeds United
1314,Conor Coady,16.0,eng ENG,CB,90,0,0,0,0,0,0,0,2,1,0,0,0,6,2,1,66.7,10/19/20,Wolves,Leeds United
1315,Willy Boly,15.0,fr FRA,CB,90,0,0,0,1,0,0,0,0,1,0,0,0,9,0,0,,10/19/20,Wolves,Leeds United
1316,Rui PatrÃ­cio,11.0,pt POR,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,10/19/20,Wolves,Leeds United

0,Ollie Watkins,11.0,eng ENG,FW,90,0,0,0,1,2,0,1,0,2,0,0,0,3,10,7,58.8,10/23/20,Aston Villa,Leeds United
1,Jack Grealish,10.0,eng ENG,LW,90,1,0,0,1,3,0,3,0,0,0,0,0,6,2,1,66.7,10/23/20,Aston Villa,Leeds United
2,Trezeguet,17.0,eg EGY,RW,65,0,0,0,5,0,0,0,0,0,0,0,0,2,1,3,25.0,10/23/20,Aston Villa,Leeds United
3,Bertrand Traore,15.0,bf BFA,RW,25,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,100.0,10/23/20,Aston Villa,Leeds United
4,Ross Barkley,20.0,eng ENG,AM,90,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,,10/23/20,Aston Villa,Leeds United
5,Douglas Luiz,6.0,br BRA,CM,90,0,0,0,1,6,0,0,2,2,0,0,0,10,0,1,0.0,10/23/20,Aston Villa,Leeds United
6,John McGinn,7.0,sco SCO,CM,90,0,0,0,1,0,0,0,0,1,0,0,0,7,0,0,,10/23/20,Aston Villa,Leeds United
7,Matt Targett,18.0,eng ENG,LB,90,0,0,0,1,0,0,1,3,2,0,0,0,12,3,1,75.0,10/23/20,Aston Villa,Leeds United
8,Tyrone Mings,5.0,eng ENG,CB,90,1,0,0,0,0,0,0,1,0,0,0,0,10,0,2,0.0,10/23/20,Aston Villa,Leeds United
9,Ezri Konsa Ngoyo,4.0,eng ENG,CB,90,0,0,0,0,4,0,0,0,0,0,0,0,5,1,1,50.0,10/23/20,Aston Villa,Leeds United
10,Matthew Cash,2.0,eng ENG,RB,90,0,0,0,2,2,0,0,4,1,0,0,0,10,4,0,100.0,10/23/20,Aston Villa,Leeds United
11,Emiliano MartÃ­nez,26.0,ar ARG,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,10/23/20,Aston Villa,Leeds United
