,Player,#,Nation,Pos,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Date,Team,Opponent
75,N'Golo Kante,7.0,fr FRA,"CM,DM",90,5,3,0,5,0,3,4,75.0,1,21,5,23.8,9,9,3,2,0,0,2,0,,0,0,09/26/20,Chelsea,West Brom
76,Marcos Alonso,3.0,es ESP,LB,45,0,0,0,0,0,0,1,0.0,1,8,4,50.0,4,2,2,2,1,0,1,0,,3,0,09/26/20,Chelsea,West Brom
77,Cesar Azpilicueta,28.0,es ESP,"LB,CB",45,0,0,0,0,0,0,1,0.0,1,10,2,20.0,6,2,2,0,0,0,0,0,,5,0,09/26/20,Chelsea,West Brom
78,Thiago Silva,6.0,br BRA,CB,72,0,0,0,0,0,0,2,0.0,2,4,1,25.0,2,1,1,0,0,0,0,1,,4,1,09/26/20,Chelsea,West Brom
79,Olivier Giroud,18.0,fr FRA,"FW,CB",18,0,0,0,0,0,0,0,,0,3,1,33.3,1,1,1,0,0,0,0,0,,0,0,09/26/20,Chelsea,West Brom
80,Andreas Christensen,4.0,dk DEN,CB,90,3,2,3,0,0,3,3,100.0,0,9,3,33.3,6,2,1,2,1,0,1,3,,2,0,09/26/20,Chelsea,West Brom
81,Reece James,24.0,eng ENG,"RB,CB",90,3,3,0,2,1,1,2,50.0,1,10,3,30.0,5,3,2,1,0,0,1,0,,1,0,09/26/20,Chelsea,West Brom
82,Willy Caballero,13.0,ar ARG,GK,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0,09/26/20,Chelsea,West Brom
83,Matej Vydra,27.0,cz CZE,FW,90,0,0,0,0,0,0,2,0.0,2,21,6,28.6,1,13,7,2,0,0,2,0,,0,0,09/26/20,Burnley,Southampton
84,Chris Wood,9.0,nz NZL,FW,90,0,0,0,0,0,0,0,,0,14,3,21.4,0,6,8,0,0,0,0,0,,0,0,09/26/20,Burnley,Southampton
85,Dwight McNeil,11.0,eng ENG,LM,90,2,1,1,0,1,2,2,100.0,0,19,9,47.4,2,13,4,1,0,0,1,0,,1,0,09/26/20,Burnley,Southampton
86,Josh Brownhill,8.0,eng ENG,RM,90,4,2,0,3,1,0,1,0.0,1,21,7,33.3,4,12,5,3,0,0,3,1,,0,0,09/26/20,Burnley,Southampton
87,Dale Stephens,16.0,eng ENG,DM,90,5,2,2,3,0,2,3,66.7,1,18,8,44.4,7,10,1,1,0,0,1,1,,0,0,09/26/20,Burnley,Southampton
88,Ashley Westwood,18.0,eng ENG,DM,90,1,1,1,0,0,0,0,,0,23,6,26.1,5,16,2,2,0,0,2,1,,0,0,09/26/20,Burnley,Southampton
89,Charlie Taylor,3.0,eng ENG,LB,90,0,0,0,0,0,0,0,,0,6,2,33.3,3,3,0,2,0,0,2,0,,0,0,09/26/20,Burnley,Southampton
90,Jimmy Dunne,34.0,ie IRL,CB,90,0,0,0,0,0,0,0,,0,8,4,50.0,3,4,1,1,1,0,0,0,,1,0,09/26/20,Burnley,Southampton
91,Kevin Long,28.0,ie IRL,CB,90,1,1,0,1,0,0,1,0.0,1,5,3,60.0,0,4,1,2,1,0,1,2,,4,0,09/26/20,Burnley,Southampton
92,Phil Bardsley,26.0,sco SCO,RB,90,1,1,0,1,0,0,1,0.0,1,14,4,28.6,2,10,2,3,0,0,3,1,,5,0,09/26/20,Burnley,Southampton
93,Nick Pope,1.0,eng ENG,GK,90,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,,0,0,09/26/20,Burnley,Southampton
94,Danny Ings,9.0,eng ENG,FW,90,0,0,0,0,0,0,0,,0,18,5,27.8,1,9,8,8,0,0,8,0,,3,0,09/26/20,Southampton,Burnley
95,Che Adams,10.0,eng ENG,FW,76,2,1,0,2,0,0,1,0.0,1,12,4,33.3,0,5,7,2,0,0,2,0,,3,0,09/26/20,Southampton,Burnley
96,Michael Obafemi,14.0,ie IRL,FW,14,0,0,0,0,0,0,0,,0,6,2,33.3,4,1,1,0,0,0,0,0,,0,0,09/26/20,Southampton,Burnley
97,Moussa Djenepo,12.0,ml MLI,LM,76,0,0,0,0,0,0,1,0.0,1,29,9,31.0,4,17,8,4,0,0,4,0,,1,0,09/26/20,Southampton,Burnley
98,Nathan Tella,23.0,eng ENG,LM,14,1,0,0,1,0,1,1,100.0,0,5,2,40.0,0,5,0,1,0,0,1,0,,0,0,09/26/20,Southampton,Burnley
99,Oriol Romeu,6.0,es ESP,CM,90,4,2,0,4,0,0,0,,0,14,5,35.7,3,10,1,1,1,0,0,0,,2,0,09/26/20,Southampton,Burnley
100,James Ward-Prowse,8.0,eng ENG,CM,90,1,0,1,0,0,0,0,,0,19,4,21.1,7,9,3,2,0,0,2,1,,2,0,09/26/20,Southampton,Burnley
101,Stuart Armstrong,17.0,sco SCO,RM,90,4,2,1,2,1,1,2,50.0,1,24,5,20.8,6,15,3,0,0,0,0,1,,1,0,09/26/20,Southampton,Burnley
