,Player,#,Nation,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Date,Team,Opponent
120,Aaron Ramsdale,1.0,eng ENG,GK,90,44,41,44,0,0,0,29,0,0,,0,0,14,85,43,10,10,100.0,0,0,09/27/20,Sheffield Utd,Leeds United
121,Tyler Roberts,11.0,wal WAL,FW,45,21,0,2,9,10,2,21,0,0,,0,0,12,56,18,23,17,73.9,0,1,09/27/20,Leeds United,Sheffield Utd
122,Rodrigo,20.0,es ESP,FW,44,39,1,7,14,19,5,39,0,0,,0,0,25,141,63,37,32,86.5,1,2,09/27/20,Leeds United,Sheffield Utd
123,Ezgjan Alioski,10.0,mk MKD,FW,1,4,0,1,2,1,0,4,0,0,,0,0,0,0,0,3,3,100.0,0,0,09/27/20,Leeds United,Sheffield Utd
124,Patrick Bamford,9.0,eng ENG,FW,90,28,0,1,12,15,6,25,0,2,0.0,1,0,16,44,28,45,18,40.0,4,1,09/27/20,Leeds United,Sheffield Utd
125,Stuart Dallas,15.0,nir NIR,CM,90,82,2,19,46,23,2,75,0,0,,0,0,58,412,226,63,58,92.1,1,2,09/27/20,Leeds United,Sheffield Utd
126,Mateusz Klich,43.0,pl POL,CM,90,59,2,2,25,36,1,55,0,1,0.0,1,0,35,276,144,51,41,80.4,1,3,09/27/20,Leeds United,Sheffield Utd
127,Kalvin Phillips,23.0,eng ENG,DM,90,70,1,17,38,19,0,65,1,1,100.0,1,0,39,172,62,49,48,98.0,1,1,09/27/20,Leeds United,Sheffield Utd
128,Jack Harrison,22.0,eng ENG,WB,90,72,1,12,28,36,4,66,3,3,100.0,3,0,52,397,220,53,46,86.8,2,3,09/27/20,Leeds United,Sheffield Utd
129,Helder Costa,17.0,pt POR,WB,65,29,1,8,12,12,3,28,0,1,0.0,0,0,20,165,138,25,20,80.0,1,4,09/27/20,Leeds United,Sheffield Utd
130,Ian Poveda-Ocampo,7.0,eng ENG,WB,25,11,0,0,2,11,3,11,0,0,,0,0,9,146,100,11,9,81.8,0,2,09/27/20,Leeds United,Sheffield Utd
131,Liam Cooper,6.0,sco SCO,CB,90,96,12,60,40,2,1,90,0,0,,0,0,57,269,131,66,66,100.0,0,1,09/27/20,Leeds United,Sheffield Utd
132,Robin Koch,5.0,de GER,CB,90,85,16,57,29,0,0,83,0,0,,0,0,56,265,121,63,63,100.0,0,0,09/27/20,Leeds United,Sheffield Utd
133,Luke Ayling,2.0,eng ENG,CB,90,108,6,45,58,21,1,93,3,3,100.0,3,0,75,591,412,77,73,94.8,0,1,09/27/20,Leeds United,Sheffield Utd
134,Illan Meslier,1.0,fr FRA,GK,90,44,36,44,0,0,0,33,0,0,,0,0,21,115,66,17,17,100.0,0,0,09/27/20,Leeds United,Sheffield Utd
135,Harry Kane,10.0,eng ENG,FW,90,38,0,0,13,28,13,38,0,0,,0,0,22,167,111,42,26,61.9,0,7,09/27/20,Tottenham,Newcastle Utd
136,Son Heung-Min,7.0,kr KOR,LW,45,23,0,0,7,19,3,19,1,1,100.0,1,0,17,140,75,26,16,61.5,1,0,09/27/20,Tottenham,Newcastle Utd
137,Steven Bergwijn,23.0,nl NED,LW,45,33,0,3,15,18,1,31,1,1,100.0,1,0,24,111,63,31,26,83.9,1,1,09/27/20,Tottenham,Newcastle Utd
138,Lucas Moura,27.0,br BRA,RW,78,58,2,5,18,39,8,56,2,3,66.7,2,0,40,225,125,50,44,88.0,2,0,09/27/20,Tottenham,Newcastle Utd
139,Erik Lamela,11.0,ar ARG,RW,12,10,0,0,5,5,0,7,1,1,100.0,1,0,7,53,17,7,7,100.0,0,0,09/27/20,Tottenham,Newcastle Utd
140,Giovani Lo Celso,18.0,ar ARG,AM,76,66,0,2,33,33,3,60,2,3,66.7,2,1,53,190,91,57,50,87.7,1,2,09/27/20,Tottenham,Newcastle Utd
141,Tanguy Ndombele,28.0,fr FRA,AM,14,23,0,0,8,15,1,22,1,1,100.0,1,0,18,56,18,22,21,95.5,0,1,09/27/20,Tottenham,Newcastle Utd
142,Harry Winks,8.0,eng ENG,DM,90,101,3,15,74,14,0,101,0,0,,0,0,75,316,138,89,87,97.8,0,3,09/27/20,Tottenham,Newcastle Utd
143,Pierre-Emile Hojbjerg,5.0,dk DEN,DM,90,119,5,22,84,17,0,119,1,2,50.0,1,0,87,311,166,96,96,100.0,1,0,09/27/20,Tottenham,Newcastle Utd
144,Ben Davies,33.0,wal WAL,LB,90,64,4,12,37,19,1,53,0,0,,0,0,39,126,64,41,40,97.6,0,0,09/27/20,Tottenham,Newcastle Utd
145,Eric Dier,15.0,eng ENG,CB,90,73,7,29,43,2,1,72,0,0,,0,0,45,225,163,49,49,100.0,0,0,09/27/20,Tottenham,Newcastle Utd
146,Davinson Sanchez,6.0,co COL,CB,90,72,8,29,45,4,2,71,0,0,,0,0,47,260,155,56,55,98.2,0,0,09/27/20,Tottenham,Newcastle Utd
147,Matt Doherty,2.0,ie IRL,RB,90,95,5,16,42,43,4,87,1,3,33.3,1,0,62,339,209,69,68,98.6,2,0,09/27/20,Tottenham,Newcastle Utd
148,Hugo Lloris,1.0,fr FRA,GK,90,13,10,13,0,0,0,8,0,0,,0,0,7,22,17,5,5,100.0,0,0,09/27/20,Tottenham,Newcastle Utd
149,Callum Wilson,13.0,eng ENG,FW,90,14,0,0,6,9,3,13,0,0,,0,0,5,42,28,26,12,46.2,4,0,09/27/20,Newcastle Utd,Tottenham
150,Joelinton,9.0,br BRA,LW,90,40,2,8,25,14,2,40,2,3,66.7,2,0,24,244,162,29,26,89.7,1,0,09/27/20,Newcastle Utd,Tottenham
151,Miguel Almiron,24.0,py PAR,RW,76,41,1,11,11,22,3,41,1,1,100.0,1,0,25,162,84,33,26,78.8,1,1,09/27/20,Newcastle Utd,Tottenham
152,Andy Carroll,7.0,eng ENG,RW,14,9,0,0,3,6,3,9,0,0,,0,0,2,27,0,12,9,75.0,1,0,09/27/20,Newcastle Utd,Tottenham
153,Jeff Hendrick,16.0,ie IRL,CM,73,30,2,14,13,3,0,30,0,0,,0,0,15,62,14,21,20,95.2,1,0,09/27/20,Newcastle Utd,Tottenham
154,Jacob Murphy,23.0,eng ENG,"WB,CM",17,12,1,4,6,3,0,11,1,3,33.3,1,0,10,59,46,7,6,85.7,0,1,09/27/20,Newcastle Utd,Tottenham
