,Player,#,Nation,Pos,Min,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out.1,Int,Blocks,Date,Team,Opponent
132,Robin Koch,5.0,de GER,CB,90,78,76,2,2,0,12,2,0,0,0,0,0,61,7,10,7,60,3,0,2,68,1,0,1,1,09/27/20,Leeds United,Sheffield Utd
133,Luke Ayling,2.0,eng ENG,CB,90,95,80,15,1,1,12,3,0,0,0,0,0,52,21,22,5,70,4,14,0,76,0,1,0,2,09/27/20,Leeds United,Sheffield Utd
134,Illan Meslier,1.0,fr FRA,GK,90,41,30,11,5,0,4,0,0,0,0,0,0,30,8,3,25,5,0,0,11,38,0,0,0,0,09/27/20,Leeds United,Sheffield Utd
135,Harry Kane,10.0,eng ENG,FW,90,19,19,0,0,1,5,3,1,0,0,0,0,11,3,5,1,16,1,0,0,15,0,0,0,2,09/27/20,Tottenham,Newcastle Utd
136,Son Heung-Min,7.0,kr KOR,LW,45,20,16,4,1,0,3,2,0,3,1,1,0,15,2,3,3,17,0,0,0,16,0,0,0,2,09/27/20,Tottenham,Newcastle Utd
137,Steven Bergwijn,23.0,nl NED,LW,45,28,26,2,0,0,3,0,1,2,2,0,0,21,4,3,1,26,1,0,0,24,0,0,1,0,09/27/20,Tottenham,Newcastle Utd
138,Lucas Moura,27.0,br BRA,RW,78,47,45,2,0,0,8,1,0,0,0,0,0,35,7,5,6,35,1,2,0,35,0,0,0,3,09/27/20,Tottenham,Newcastle Utd
139,Erik Lamela,11.0,ar ARG,RW,12,9,7,2,0,0,2,0,0,1,0,0,0,7,2,0,8,1,0,0,0,9,0,0,0,0,09/27/20,Tottenham,Newcastle Utd
140,Giovani Lo Celso,18.0,ar ARG,AM,76,57,52,5,0,0,6,3,1,4,4,0,0,36,8,13,45,9,0,0,1,44,0,0,1,2,09/27/20,Tottenham,Newcastle Utd
141,Tanguy Ndombele,28.0,fr FRA,AM,14,21,20,1,1,0,4,0,1,0,0,0,0,14,6,1,1,19,0,0,0,19,0,0,0,1,09/27/20,Tottenham,Newcastle Utd
142,Harry Winks,8.0,eng ENG,DM,90,93,93,0,0,0,8,4,0,0,0,0,0,78,4,11,8,82,3,0,0,89,0,0,0,0,09/27/20,Tottenham,Newcastle Utd
