,Player,#,Nation,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,KP,1/3,PPA,CrsPA,Prog,Date,Team,Opponent
214,Sokratis Papastathopoulos,5.0,gr GRE,CB,90.0,62.0,65.0,95.4,1408.0,479.0,0.0,1.0,0.0,39.0,40.0,97.5,23.0,24.0,95.8,0,0.0,0.0,1.0,0.0,0.0,1.0,August-11-2019,Arsenal,Newcastle Utd
215,Calum Chambers,21.0,eng ENG,CB,90.0,51.0,56.0,91.1,1179.0,249.0,1.0,1.0,100.0,31.0,31.0,100.0,19.0,24.0,79.2,0,0.0,0.0,3.0,0.0,0.0,2.0,August-11-2019,Arsenal,Newcastle Utd
216,Ainsley Maitland-Niles,15.0,eng ENG,RB,90.0,60.0,68.0,88.2,897.0,356.0,0.0,0.0,,55.0,58.0,94.8,5.0,10.0,50.0,1,0.3,1.0,5.0,2.0,1.0,6.0,August-11-2019,Arsenal,Newcastle Utd
217,Bernd Leno,1.0,de GER,GK,90.0,32.0,37.0,86.5,746.0,424.0,0.0,0.0,,20.0,20.0,100.0,12.0,17.0,70.6,0,0.0,0.0,0.0,0.0,0.0,0.0,August-11-2019,Arsenal,Newcastle Utd
218,Jamie Vardy,9.0,eng ENG,FW,90.0,7.0,12.0,58.3,76.0,30.0,1.0,2.0,50.0,6.0,9.0,66.7,0.0,1.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,August-11-2019,Leicester City,Wolves
219,James Maddison,10.0,eng ENG,CM,90.0,61.0,78.0,78.2,1084.0,295.0,1.0,3.0,33.3,52.0,56.0,92.9,8.0,19.0,42.1,0,0.0,2.0,4.0,1.0,0.0,13.0,August-11-2019,Leicester City,Wolves
220,Hamza Choudhury,20.0,eng ENG,CM,60.0,51.0,54.0,94.4,974.0,201.0,2.0,4.0,50.0,40.0,41.0,97.6,9.0,9.0,100.0,0,0.0,1.0,6.0,0.0,0.0,1.0,August-11-2019,Leicester City,Wolves
221,Harvey Barnes,15.0,eng ENG,CM,30.0,16.0,21.0,76.2,232.0,38.0,1.0,3.0,33.3,14.0,16.0,87.5,1.0,2.0,50.0,0,0.0,0.0,2.0,2.0,0.0,3.0,August-11-2019,Leicester City,Wolves
222,Youri Tielemans,8.0,be BEL,CM,90.0,51.0,60.0,85.0,826.0,269.0,2.0,2.0,100.0,44.0,50.0,88.0,5.0,8.0,62.5,0,0.1,2.0,3.0,1.0,0.0,6.0,August-11-2019,Leicester City,Wolves
223,Ayoze P̩rez,17.0,es ESP,CM,75.0,23.0,37.0,62.2,368.0,84.0,1.0,9.0,11.1,18.0,23.0,78.3,4.0,5.0,80.0,0,0.0,1.0,3.0,1.0,0.0,1.0,August-11-2019,Leicester City,Wolves
