"","Date","X1","Player","#","Nation","Pos","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Press","Tkl","Int","Blocks","xG","npxG","xA","SCA","GCA","Cmp","Att","Cmp%","PrgDist","Carries","PrgDist.1","Succ","Att.1","Team","Opponent","game_week"
"52","01/01/20",5526,"Antonio Rudiger",2,"de GER","CB",90,0,0,0,0,0,0,0,0,71,16,5,0,2,0,0,0,0,0,49,61,80.3,469,46,137,0,0,"Chelsea","Brighton",21
"53","01/01/20",5527,"Reece James",24,"eng ENG","RB",90,0,0,0,0,2,0,1,0,83,15,5,4,2,0.1,0.1,0,3,0,55,70,78.6,407,44,122,3,3,"Chelsea","Brighton",21
"54","01/01/20",5528,"Kepa Arrizabalaga",1,"es ESP","GK",90,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,24,29,82.8,268,14,9,0,0,"Chelsea","Brighton",21
"55","01/01/20",5529,"Joelinton",9,"br BRA","FW",90,0,0,0,0,3,1,0,0,37,17,2,0,1,0.5,0.5,0,1,0,12,21,57.1,44,17,125,2,2,"Newcastle Utd","Leicester City",21
"56","01/01/20",5530,"Miguel Almiron",24,"py PAR","LW",90,0,0,0,0,1,0,0,0,31,21,2,3,2,0.2,0.2,0,1,0,12,18,66.7,36,21,107,1,2,"Newcastle Utd","Leicester City",21
"57","01/01/20",5531,"Yoshinori Muto",13,"jp JPN","RW",90,0,0,0,0,0,0,0,0,16,19,2,0,0,0,0,0.1,2,0,9,10,90,55,19,61,4,4,"Newcastle Utd","Leicester City",21
"58","01/01/20",5532,"Jonjo Shelvey",8,"eng ENG","CM",45,0,0,0,0,0,0,0,0,31,10,0,1,0,0,0,0.5,3,0,19,30,63.3,171,21,69,1,2,"Newcastle Utd","Leicester City",21
"59","01/01/20",5533,"Sean Longstaff",36,"eng ENG","CM",45,0,0,0,0,0,0,0,0,16,20,2,0,3,0,0,0,0,0,5,7,71.4,37,10,29,1,2,"Newcastle Utd","Leicester City",21
"60","01/01/20",5534,"Isaac Hayden",14,"eng ENG","CM",90,0,0,0,0,1,0,0,0,27,12,2,2,0,0,0,0,0,0,16,19,84.2,56,11,39,0,0,"Newcastle Utd","Leicester City",21
"61","01/01/20",5535,"Jetro Willems",15,"nl NED","WB",44,0,0,0,0,0,0,0,0,18,10,2,1,0,0,0,0,2,0,11,14,78.6,19,11,27,0,1,"Newcastle Utd","Leicester City",21
"62","01/01/20",5536,"DeAndre Yedlin",22,"us USA","WB",46,0,0,0,0,0,0,0,0,13,9,1,0,1,0,0,0,0,0,7,10,70,7,8,3,0,0,"Newcastle Utd","Leicester City",21
"63","01/01/20",5537,"Javier Manquillo",19,"es ESP","WB",44,0,0,0,0,0,0,0,0,14,4,0,1,2,0,0,0,0,0,5,10,50,33,7,34,0,0,"Newcastle Utd","Leicester City",21
"64","01/01/20",5538,"Emil Krafth",17,"se SWE","WB",46,0,0,0,0,0,0,0,0,22,8,1,1,0,0,0,0,0,0,12,18,66.7,92,8,45,0,0,"Newcastle Utd","Leicester City",21
"65","01/01/20",5539,"Florian Lejeune",20,"fr FRA","CB",90,0,0,0,0,0,0,0,0,43,10,1,3,2,0,0,0,0,0,19,32,59.4,167,19,53,0,1,"Newcastle Utd","Leicester City",21
"66","01/01/20",5540,"Federico Fernandez",18,"ar ARG","CB",90,0,0,0,0,0,0,1,0,46,12,3,0,3,0,0,0,0,0,23,36,63.9,311,20,55,0,0,"Newcastle Utd","Leicester City",21
"67","01/01/20",5541,"Fabian Schar",5,"ch SUI","CB",90,0,0,0,0,1,1,0,0,26,4,0,0,2,0,0,0,0,0,15,21,71.4,136,11,73,0,0,"Newcastle Utd","Leicester City",21
"68","01/01/20",5542,"Martin D̼bravka",1,"sk SVK","GK",90,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,18,32,56.3,565,13,37,0,0,"Newcastle Utd","Leicester City",21
"69","01/01/20",5543,"Ayoze Perez",17,"es ESP","FW",90,1,1,0,0,3,2,0,0,36,19,1,0,1,0.6,0.6,0.3,6,1,24,27,88.9,45,30,77,1,2,"Leicester City","Newcastle Utd",21
"70","01/01/20",5544,"Kelechi Iheanacho",14,"ng NGA","FW",62,0,0,0,0,1,1,0,0,21,4,0,0,0,0.2,0.2,0.1,3,1,12,17,70.6,17,14,6,1,1,"Leicester City","Newcastle Utd",21
"71","01/01/20",5545,"Demarai Gray",7,"eng ENG","FW",28,0,0,0,0,2,0,0,0,20,2,0,0,0,0.3,0.3,0,2,1,14,14,100,6,18,32,1,1,"Leicester City","Newcastle Utd",21
"72","01/01/20",5546,"James Maddison",10,"eng ENG","CM",76,1,0,0,0,4,2,0,0,99,10,1,0,0,0.2,0.2,0.3,4,0,75,92,81.5,424,78,157,1,1,"Leicester City","Newcastle Utd",21
"73","01/01/20",5547,"Hamza Choudhury",20,"eng ENG","CM",14,1,0,0,0,1,1,0,0,24,2,0,0,0,0.1,0.1,0,0,0,22,23,95.7,63,22,6,0,0,"Leicester City","Newcastle Utd",21
"74","01/01/20",5548,"Youri Tielemans",8,"be BEL","CM",90,0,0,0,0,1,1,1,0,84,16,2,1,0,0,0,0.3,3,0,54,70,77.1,207,55,136,0,2,"Leicester City","Newcastle Utd",21
"75","01/01/20",5549,"Wilfred Ndidi",25,"ng NGA","DM",90,0,1,0,0,1,0,0,0,88,17,0,5,2,0.2,0.2,0.1,1,1,69,76,90.8,235,49,79,1,1,"Leicester City","Newcastle Utd",21
"76","01/01/20",5550,"Ben Chilwell",3,"eng ENG","WB",90,0,0,0,0,0,0,0,0,94,8,1,3,1,0,0,0,0,0,69,84,82.1,145,70,164,0,0,"Leicester City","Newcastle Utd",21
"77","01/01/20",5551,"Ricardo Pereira",21,"pt POR","WB",90,0,0,0,0,0,0,0,0,90,19,5,2,2,0,0,0,5,1,68,74,91.9,286,65,158,2,3,"Leicester City","Newcastle Utd",21
"78","01/01/20",5552,"Christian Fuchs",28,"at AUT","CB",90,0,0,0,0,1,0,0,0,144,6,2,4,2,0,0,0,0,0,125,134,93.3,778,105,231,0,0,"Leicester City","Newcastle Utd",21
"79","01/01/20",5553,"Jonny Evans",6,"nir NIR","CB",83,0,0,0,0,2,2,0,0,102,5,2,0,1,0.1,0.1,0,1,0,92,93,98.9,612,84,162,0,0,"Leicester City","Newcastle Utd",21
"80","01/01/20",5554,"Wes Morgan",5,"jm JAM","CB",7,0,0,0,0,0,0,0,0,16,1,1,0,0,0,0,0,0,0,13,13,100,114,13,28,0,0,"Leicester City","Newcastle Utd",21
"81","01/01/20",5555,"Caglar Soyuncu",4,"tr TUR","CB",90,0,0,0,0,0,0,0,0,131,7,1,1,1,0,0,0,1,0,121,125,96.8,646,112,257,0,0,"Leicester City","Newcastle Utd",21
"82","01/01/20",5556,"Kasper Schmeichel",1,"dk DEN","GK",90,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,15,17,88.2,202,6,7,0,0,"Leicester City","Newcastle Utd",21
"83","01/01/20",5557,"Nathan Redmond",22,"eng ENG","FW,CM",90,0,0,0,0,3,1,0,0,38,27,0,1,1,0.4,0.4,0.1,5,0,15,21,71.4,62,32,135,3,8,"Southampton","Tottenham",21
"84","01/01/20",5558,"Danny Ings",9,"eng ENG","FW",75,1,0,0,0,2,1,0,0,35,30,1,1,4,0.4,0.4,0,3,1,9,19,47.4,38,26,34,3,5,"Southampton","Tottenham",21
"85","01/01/20",5559,"Michael Obafemi",20,"ie IRL","FW",15,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,3,4,75,15,7,23,0,1,"Southampton","Tottenham",21
"86","01/01/20",5560,"Moussa Djenepo",12,"ml MLI","CM",57,0,0,0,0,2,0,1,0,24,21,1,0,2,0.1,0.1,0.1,2,0,10,11,90.9,121,19,145,0,2,"Southampton","Tottenham",21
"87","01/01/20",5561,"Shane Long",7,"ie IRL","FW",33,0,0,0,0,1,0,0,0,30,10,1,1,0,0.2,0.2,0,1,0,9,17,52.9,12,14,46,0,1,"Southampton","Tottenham",21
"88","01/01/20",5562,"Stuart Armstrong",17,"sco SCO","CM",89,0,0,0,0,3,1,0,0,42,25,1,0,0,0.2,0.2,0.3,2,0,19,26,73.1,84,28,71,1,3,"Southampton","Tottenham",21
"89","01/01/20",5563,"Oriol Romeu",14,"es ESP","CM",1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,"Southampton","Tottenham",21
"90","01/01/20",5564,"Pierre-Emile Hojbjerg",23,"dk DEN","DM",90,0,0,0,0,0,0,0,0,60,20,2,3,0,0,0,0,3,0,35,51,68.6,150,44,125,1,1,"Southampton","Tottenham",21
"91","01/01/20",5565,"James Ward-Prowse",16,"eng ENG","DM",90,0,0,0,0,0,0,1,0,68,37,12,0,1,0,0,0.4,4,0,32,52,61.5,273,21,24,0,0,"Southampton","Tottenham",21
"92","01/01/20",5566,"Ryan Bertrand",21,"eng ENG","LB",90,0,0,0,0,1,0,0,0,48,19,1,0,3,0,0,0.1,2,0,29,37,78.4,211,26,36,0,0,"Southampton","Tottenham",21
"93","01/01/20",5567,"Jan Bednarek",35,"pl POL","CB",90,0,0,0,0,0,0,1,0,48,11,1,3,1,0,0,0,0,0,23,38,60.5,180,16,19,0,0,"Southampton","Tottenham",21
"94","01/01/20",5568,"Jack Stephens",5,"eng ENG","CB",90,0,1,0,0,0,0,0,0,55,9,4,2,1,0,0,0.3,1,1,22,41,53.7,237,23,47,0,0,"Southampton","Tottenham",21
"95","01/01/20",5569,"Cedric Soares",2,"pt POR","RB",90,0,0,0,0,1,0,0,0,58,14,3,1,0,0.1,0.1,0.1,1,0,34,47,72.3,348,16,44,0,0,"Southampton","Tottenham",21
"96","01/01/20",5570,"Alex McCarthy",1,"eng ENG","GK",90,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,10,22,45.5,453,10,38,0,0,"Southampton","Tottenham",21
"97","01/01/20",5571,"Harry Kane",10,"eng ENG","FW",74,0,0,0,0,2,2,0,0,24,10,0,0,0,0.1,0.1,0.1,2,0,10,17,58.8,41,20,72,2,2,"Tottenham","Southampton",21
"98","01/01/20",5572,"Erik Lamela",11,"ar ARG","AM",16,0,0,0,0,0,0,0,0,12,4,3,0,0,0,0,0,0,0,4,10,40,12,7,43,0,0,"Tottenham","Southampton",21
"99","01/01/20",5573,"Lucas Moura",27,"br BRA","AM",90,0,0,0,0,3,0,0,0,47,21,0,1,2,0.2,0.2,0,3,0,17,28,60.7,89,31,130,4,8,"Tottenham","Southampton",21
"100","01/01/20",5574,"Dele Alli",20,"eng ENG","AM,FW",90,0,0,0,0,0,0,0,0,49,22,1,0,1,0,0,0,1,0,26,30,86.7,90,31,126,2,6,"Tottenham","Southampton",21
"101","01/01/20",5575,"Christian Eriksen",23,"dk DEN","CM",90,0,0,0,0,1,0,1,0,84,16,2,0,0,0,0,0,1,0,54,77,70.1,199,44,97,0,0,"Tottenham","Southampton",21
"102","01/01/20",5576,"Moussa Sissoko",17,"fr FRA","DM,CM",90,0,0,0,0,0,0,1,0,46,14,5,0,0,0,0,0,0,0,30,34,88.2,75,29,92,1,3,"Tottenham","Southampton",21
"103","01/01/20",5577,"Tanguy Ndombele",28,"fr FRA","DM",24,0,0,0,0,0,0,0,0,16,3,1,2,1,0,0,0,0,0,9,12,75,87,15,51,2,2,"Tottenham","Southampton",21
"104","01/01/20",5578,"Giovani Lo Celso",18,"ar ARG","CM",66,0,0,0,0,1,0,1,0,37,21,2,0,1,0.1,0.1,0.1,1,0,18,22,81.8,93,27,82,3,4,"Tottenham","Southampton",21
"105","01/01/20",5579,"Ryan Sessegnon",19,"eng ENG","LB",90,0,0,0,0,0,0,0,0,73,8,3,0,1,0,0,0,1,0,39,57,68.4,221,41,173,1,1,"Tottenham","Southampton",21
"106","01/01/20",5580,"Jan Vertonghen",5,"be BEL","CB",90,0,0,0,0,2,1,0,0,100,12,3,2,1,0.4,0.4,0,1,0,55,75,73.3,307,58,112,0,0,"Tottenham","Southampton",21
"107","01/01/20",5581,"Toby Alderweireld",4,"be BEL","CB",90,0,0,0,0,0,0,0,0,88,16,2,0,4,0,0,0,0,0,61,71,85.9,397,53,59,0,0,"Tottenham","Southampton",21
"108","01/01/20",5582,"Serge Aurier",24,"ci CIV","RB",90,0,0,0,0,0,0,1,0,74,17,2,0,3,0,0,0,1,0,49,64,76.6,233,45,113,7,7,"Tottenham","Southampton",21
