,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Date,Team,Opponent
2104,Roberto Pereyra,37.0,ar ARG,FW,26-280,81.0,2.0,2,1.0,1.0,0.0,0.0,0.0,,0.0,3.0,1.0,33.3,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,10/14/2017,Watford,Arsenal
2105,Ãtienne Capoue,29.0,fr FRA,FW,29-095,9.0,1.0,0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,,0.0,0.0,10/14/2017,Watford,Arsenal
2106,JosÃ© Holebas,25.0,gr GRE,LM,33-109,90.0,1.0,1,0.0,0.0,1.0,0.0,0.0,,0.0,7.0,3.0,42.9,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1,,4.0,0.0,10/14/2017,Watford,Arsenal
2107,Abdoulaye DoucourÃ©,16.0,fr FRA,CM,24-286,90.0,4.0,3,2.0,2.0,0.0,1.0,2.0,50.0,1.0,11.0,2.0,18.2,4.0,5.0,2.0,2.0,0.0,0.0,2.0,1,,0.0,0.0,10/14/2017,Watford,Arsenal
2108,Tom Cleverley,8.0,eng ENG,CM,28-063,90.0,3.0,3,1.0,2.0,0.0,1.0,1.0,100.0,0.0,3.0,2.0,66.7,0.0,3.0,0.0,1.0,0.0,0.0,1.0,3,,0.0,0.0,10/14/2017,Watford,Arsenal
2109,Kiko FemenÃ­a,21.0,es ESP,"RM,CB",26-254,90.0,1.0,1,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,50.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1,,1.0,0.0,10/14/2017,Watford,Arsenal
2110,Miguel Britos,3.0,uy URU,CB,32-089,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,1.0,25.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,2,,6.0,0.0,10/14/2017,Watford,Arsenal
2111,Christian Kabasele,27.0,be BEL,CB,26-232,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,,6.0,0.0,10/14/2017,Watford,Arsenal
2112,Adrian Mariappa,6.0,jm JAM,CB,31-011,63.0,3.0,1,2.0,1.0,0.0,2.0,3.0,66.7,1.0,4.0,1.0,25.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1,,2.0,0.0,10/14/2017,Watford,Arsenal
2113,AndrÃ© Carrillo,28.0,pe PER,RM,26-122,27.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,1.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,,1.0,0.0,10/14/2017,Watford,Arsenal
2114,Heurelho Gomes,1.0,br BRA,GK,36-241,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,10/14/2017,Watford,Arsenal
2115,Alexandre Lacazette,9.0,fr FRA,FW,26-139,68.0,2.0,1,1.0,1.0,0.0,0.0,0.0,,0.0,14.0,6.0,42.9,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,10/14/2017,Arsenal,Watford
2116,Olivier Giroud,12.0,fr FRA,FW,31-014,22.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,5.0,1.0,20.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,10/14/2017,Arsenal,Watford
2117,Danny Welbeck,23.0,eng ENG,LW,26-322,61.0,2.0,1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,17.0,5.0,29.4,2.0,10.0,5.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,10/14/2017,Arsenal,Watford
2118,Mesut Ãzil,11.0,de GER,LW,28-364,29.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,10.0,4.0,40.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,1,,0.0,0.0,10/14/2017,Arsenal,Watford
2119,Alex Iwobi,17.0,ng NGA,RW,21-164,90.0,1.0,1,0.0,0.0,1.0,0.0,0.0,,0.0,17.0,2.0,11.8,6.0,10.0,1.0,2.0,0.0,0.0,2.0,0,,0.0,0.0,10/14/2017,Arsenal,Watford
2120,Sead KolaÅ¡inac,31.0,ba BIH,LM,24-116,90.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,20.0,4.0,20.0,8.0,10.0,2.0,0.0,0.0,0.0,0.0,2,,1.0,0.0,10/14/2017,Arsenal,Watford
2121,HÃ©ctor BellerÃ­n,24.0,es ESP,RM,22-209,90.0,3.0,2,1.0,1.0,1.0,1.0,1.0,100.0,0.0,18.0,4.0,22.2,10.0,6.0,2.0,1.0,0.0,0.0,1.0,1,,0.0,0.0,10/14/2017,Arsenal,Watford
2122,Granit Xhaka,29.0,ch SUI,DM,25-017,90.0,1.0,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,19.0,6.0,31.6,5.0,11.0,3.0,1.0,0.0,0.0,1.0,2,,4.0,0.0,10/14/2017,Arsenal,Watford
2123,Mohamed Elneny,35.0,eg EGY,DM,25-095,90.0,2.0,2,1.0,0.0,1.0,1.0,3.0,33.3,2.0,22.0,5.0,22.7,9.0,10.0,3.0,2.0,0.0,0.0,2.0,0,,1.0,0.0,10/14/2017,Arsenal,Watford
2124,Nacho Monreal,18.0,es ESP,CB,31-230,90.0,3.0,3,1.0,2.0,0.0,0.0,2.0,0.0,2.0,15.0,8.0,53.3,8.0,6.0,1.0,1.0,0.0,0.0,1.0,0,,5.0,0.0,10/14/2017,Arsenal,Watford
2125,Per Mertesacker,4.0,de GER,CB,33-015,90.0,1.0,1,0.0,1.0,0.0,0.0,0.0,,0.0,6.0,3.0,50.0,1.0,5.0,0.0,3.0,2.0,0.0,1.0,2,,10.0,0.0,10/14/2017,Arsenal,Watford
2126,Laurent Koscielny,6.0,fr FRA,CB,32-034,85.0,2.0,2,1.0,0.0,1.0,0.0,0.0,,0.0,9.0,3.0,33.3,7.0,1.0,1.0,1.0,0.0,0.0,1.0,1,,5.0,0.0,10/14/2017,Arsenal,Watford
2127,Rob Holding,16.0,eng ENG,CB,22-024,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,,1.0,0.0,10/14/2017,Arsenal,Watford
2128,Petr Äech,33.0,cz CZE,GK,35-147,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,10/14/2017,Arsenal,Watford
2129,Glenn Murray,17.0,eng ENG,FW,34-020,85.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,28.0,4.0,14.3,1.0,13.0,14.0,1.0,0.0,0.0,1.0,0,,0.0,0.0,10/15/2017,Brighton,Everton
2130,Izzy Brown,37.0,eng ENG,FW,20-281,5.0,1.0,1,0.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,10/15/2017,Brighton,Everton
2131,Pascal GroÃ,13.0,de GER,FW,26-122,90.0,1.0,1,1.0,0.0,0.0,0.0,2.0,0.0,2.0,54.0,18.0,33.3,6.0,20.0,28.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,10/15/2017,Brighton,Everton
2132,Solly March,20.0,eng ENG,LM,23-087,73.0,1.0,1,1.0,0.0,0.0,0.0,2.0,0.0,2.0,26.0,7.0,26.9,16.0,7.0,3.0,4.0,0.0,0.0,4.0,0,,0.0,0.0,10/15/2017,Brighton,Everton
2133,JosÃ© Izquierdo,19.0,co COL,LM,25-100,17.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,,1.0,0.0,10/15/2017,Brighton,Everton
2134,Anthony Knockaert,11.0,fr FRA,RM,25-329,90.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,25.0,6.0,24.0,9.0,9.0,7.0,1.0,0.0,0.0,1.0,1,,0.0,0.0,10/15/2017,Brighton,Everton
2135,Davy PrÃ¶pper,24.0,nl NED,DM,26-043,90.0,3.0,2,1.0,2.0,0.0,1.0,2.0,50.0,1.0,33.0,15.0,45.5,12.0,19.0,2.0,4.0,0.0,0.0,4.0,3,,6.0,0.0,10/15/2017,Brighton,Everton
2136,Dale Stephens,6.0,eng ENG,DM,28-125,90.0,2.0,1,0.0,2.0,0.0,0.0,3.0,0.0,3.0,17.0,3.0,17.6,9.0,7.0,1.0,4.0,0.0,0.0,4.0,3,,0.0,0.0,10/15/2017,Brighton,Everton
2137,Markus Suttner,29.0,at AUT,LB,30-182,90.0,1.0,1,1.0,0.0,0.0,1.0,5.0,20.0,4.0,21.0,8.0,38.1,15.0,4.0,2.0,1.0,0.0,0.0,1.0,3,,0.0,0.0,10/15/2017,Brighton,Everton
2138,Lewis Dunk,5.0,eng ENG,CB,25-328,90.0,1.0,1,0.0,1.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0,,7.0,0.0,10/15/2017,Brighton,Everton
2139,Shane Duffy,22.0,ie IRL,CB,25-287,73.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,1.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,4.0,0.0,10/15/2017,Brighton,Everton
2140,Uwe HÃ¼nemeier,4.0,de GER,CB,31-279,17.0,3.0,0,3.0,0.0,0.0,1.0,1.0,100.0,0.0,3.0,1.0,33.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,3.0,0.0,10/15/2017,Brighton,Everton
2141,Bruno,2.0,es ESP,RB,37-014,90.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,16.7,4.0,2.0,0.0,3.0,0.0,0.0,3.0,1,,2.0,0.0,10/15/2017,Brighton,Everton
2142,Mathew Ryan,1.0,au AUS,GK,25-190,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,10/15/2017,Brighton,Everton
2143,Wayne Rooney,10.0,eng ENG,FW,31-356,90.0,2.0,2,2.0,0.0,0.0,1.0,1.0,100.0,0.0,14.0,5.0,35.7,3.0,5.0,6.0,0.0,0.0,0.0,0.0,0,,1.0,0.0,10/15/2017,Everton,Brighton
2144,Tom Davies,26.0,eng ENG,FW,19-107,,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,10/15/2017,Everton,Brighton
2145,Dominic Calvert-Lewin,29.0,eng ENG,LW,20-213,90.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,12.0,3.0,25.0,2.0,3.0,7.0,1.0,0.0,0.0,1.0,1,,3.0,0.0,10/15/2017,Everton,Brighton
2146,Nikola VlaÅ¡iÄ,27.0,hr CRO,RW,20-011,90.0,1.0,1,1.0,0.0,0.0,0.0,0.0,,0.0,17.0,2.0,11.8,4.0,6.0,7.0,1.0,0.0,0.0,1.0,2,,1.0,0.0,10/15/2017,Everton,Brighton
2147,Gylfi SigurÃ°sson,18.0,is ISL,AM,28-037,90.0,2.0,1,0.0,2.0,0.0,0.0,0.0,,0.0,21.0,7.0,33.3,1.0,10.0,10.0,2.0,1.0,0.0,1.0,0,,0.0,0.0,10/15/2017,Everton,Brighton
2148,Morgan Schneiderlin,2.0,fr FRA,DM,27-341,90.0,3.0,2,2.0,1.0,0.0,0.0,0.0,,0.0,15.0,5.0,33.3,4.0,8.0,3.0,1.0,0.0,0.0,1.0,1,,3.0,0.0,10/15/2017,Everton,Brighton
2149,Idrissa Gana Gueye,17.0,sn SEN,DM,28-019,69.0,1.0,0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,15.0,5.0,33.3,6.0,7.0,2.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,10/15/2017,Everton,Brighton
2150,Oumar Niasse,19.0,sn SEN,DM,27-180,21.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,2.0,66.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,10/15/2017,Everton,Brighton
2151,Leighton Baines,3.0,eng ENG,LB,32-308,84.0,1.0,1,1.0,0.0,0.0,0.0,0.0,,0.0,7.0,3.0,42.9,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,10/15/2017,Everton,Brighton
2152,Kevin Mirallas,11.0,be BEL,LB,30-010,6.0,1.0,1,1.0,0.0,0.0,0.0,0.0,,0.0,3.0,1.0,33.3,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,10/15/2017,Everton,Brighton
2153,Michael Keane,4.0,eng ENG,CB,24-277,90.0,1.0,1,0.0,1.0,0.0,0.0,0.0,,0.0,11.0,4.0,36.4,8.0,3.0,0.0,5.0,3.0,0.0,2.0,0,,4.0,0.0,10/15/2017,Everton,Brighton
2154,Phil Jagielka,6.0,eng ENG,CB,35-059,90.0,1.0,1,1.0,0.0,0.0,0.0,0.0,,0.0,9.0,5.0,55.6,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1,,6.0,0.0,10/15/2017,Everton,Brighton
2155,Mason Holgate,30.0,eng ENG,RB,20-358,90.0,2.0,1,2.0,0.0,0.0,1.0,3.0,33.3,2.0,18.0,2.0,11.1,10.0,4.0,4.0,5.0,1.0,0.0,4.0,2,,5.0,0.0,10/15/2017,Everton,Brighton
2156,Jordan Pickford,1.0,eng ENG,GK,23-222,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,10/15/2017,Everton,Brighton
2157,Shane Long,7.0,ie IRL,FW,30-266,82.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,4.0,44.4,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0,,1.0,0.0,10/15/2017,Southampton,Newcastle Utd
2158,Charlie Austin,10.0,eng ENG,FW,28-102,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,10/15/2017,Southampton,Newcastle Utd
2159,Manolo Gabbiadini,20.0,it ITA,FW,25-323,90.0,1.0,1,0.0,0.0,1.0,0.0,0.0,,0.0,8.0,7.0,87.5,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,10/15/2017,Southampton,Newcastle Utd
2160,Nathan Redmond,22.0,eng ENG,LM,23-223,57.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,2.0,33.3,2.0,0.0,4.0,1.0,0.0,0.0,1.0,0,,0.0,0.0,10/15/2017,Southampton,Newcastle Utd
2161,Sofiane Boufal,19.0,ma MAR,LM,24-028,33.0,1.0,1,0.0,1.0,0.0,0.0,0.0,,0.0,5.0,1.0,20.0,4.0,0.0,1.0,2.0,0.0,0.0,2.0,0,,0.0,0.0,10/15/2017,Southampton,Newcastle Utd
2162,Mario Lemina,18.0,ga GAB,CM,24-044,90.0,3.0,3,1.0,0.0,2.0,0.0,1.0,0.0,1.0,4.0,4.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1,,4.0,1.0,10/15/2017,Southampton,Newcastle Utd
2163,Oriol Romeu,14.0,es ESP,CM,26-021,67.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,1.0,12.5,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,10/15/2017,Southampton,Newcastle Utd
2164,Steven Davis,8.0,nir NIR,CM,32-287,23.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,1.0,50.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,0,,2.0,0.0,10/15/2017,Southampton,Newcastle Utd
2165,DuÅ¡an TadiÄ,11.0,rs SRB,RM,28-329,90.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,13.0,4.0,30.8,2.0,9.0,2.0,0.0,0.0,0.0,0.0,0,,1.0,0.0,10/15/2017,Southampton,Newcastle Utd
2166,Ryan Bertrand,21.0,eng ENG,LB,28-071,90.0,1.0,1,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,100.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,1,,1.0,0.0,10/15/2017,Southampton,Newcastle Utd
2167,Virgil van Dijk,17.0,nl NED,CB,26-099,90.0,1.0,1,0.0,1.0,0.0,0.0,0.0,,0.0,11.0,4.0,36.4,8.0,2.0,1.0,5.0,3.0,0.0,2.0,0,,9.0,0.0,10/15/2017,Southampton,Newcastle Utd
2168,Maya Yoshida,3.0,jp JPN,CB,29-052,90.0,1.0,1,1.0,0.0,0.0,0.0,0.0,,0.0,4.0,1.0,25.0,3.0,0.0,1.0,3.0,1.0,0.0,2.0,0,,3.0,0.0,10/15/2017,Southampton,Newcastle Utd
2169,CÃ©dric Soares,2.0,pt POR,RB,26-045,90.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,3.0,30.0,6.0,3.0,1.0,3.0,1.0,0.0,2.0,0,,2.0,0.0,10/15/2017,Southampton,Newcastle Utd
2170,Fraser Forster,44.0,eng ENG,GK,29-212,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,10/15/2017,Southampton,Newcastle Utd
2171,Joselu,21.0,es ESP,FW,27-202,68.0,2.0,1,1.0,0.0,1.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,,0.0,0.0,10/15/2017,Newcastle Utd,Southampton
2172,Dwight Gayle,9.0,eng ENG,FW,26-363,22.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,10/15/2017,Newcastle Utd,Southampton
2173,Ayoze PÃ©rez,17.0,es ESP,FW,24-084,63.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,1,,0.0,0.0,10/15/2017,Newcastle Utd,Southampton
2174,Mikel Merino,23.0,es ESP,FW,21-115,27.0,1.0,1,0.0,0.0,1.0,0.0,0.0,,0.0,4.0,1.0,25.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0,,0.0,0.0,10/15/2017,Newcastle Utd,Southampton
2175,Christian Atsu,30.0,gh GHA,LM,25-278,82.0,1.0,0,1.0,0.0,0.0,0.0,0.0,,0.0,4.0,1.0,25.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,0,,1.0,0.0,10/15/2017,Newcastle Utd,Southampton
2176,Jacob Murphy,7.0,eng ENG,LM,22-233,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,10/15/2017,Newcastle Utd,Southampton
2177,Jonjo Shelvey,8.0,eng ENG,CM,25-230,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,1.0,33.3,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2,,2.0,0.0,10/15/2017,Newcastle Utd,Southampton
2178,Isaac Hayden,14.0,eng ENG,CM,22-207,90.0,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,0,,0.0,0.0,10/15/2017,Newcastle Utd,Southampton
2179,Matt Ritchie,11.0,sco SCO,RM,28-035,90.0,1.0,0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,7.0,0.0,0.0,2.0,4.0,1.0,4.0,0.0,0.0,4.0,0,,2.0,0.0,10/15/2017,Newcastle Utd,Southampton
2180,Javier Manquillo,19.0,es ESP,LB,23-163,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,12.0,5.0,41.7,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0,,4.0,0.0,10/15/2017,Newcastle Utd,Southampton
2181,Florian Lejeune,20.0,fr FRA,CB,26-148,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,1.0,50.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,1,,8.0,0.0,10/15/2017,Newcastle Utd,Southampton
2182,Jamaal Lascelles,6.0,eng ENG,CB,23-338,90.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,50.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0,,10.0,0.0,10/15/2017,Newcastle Utd,Southampton
2183,DeAndre Yedlin,22.0,us USA,RB,24-098,90.0,1.0,1,1.0,0.0,0.0,0.0,0.0,,0.0,6.0,1.0,16.7,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0,,8.0,0.0,10/15/2017,Newcastle Utd,Southampton
2184,Rob Elliot,1.0,ie IRL,GK,31-168,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,10/15/2017,Newcastle Utd,Southampton
2185,Jamie Vardy,9.0,eng ENG,FW,30-278,90.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,18.0,6.0,33.3,0.0,8.0,10.0,1.0,0.0,0.0,1.0,0,,0.0,0.0,10/16/2017,Leicester City,West Brom
2186,Kelechi Iheanacho,8.0,ng NGA,FW,21-013,74.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,18.0,7.0,38.9,4.0,8.0,6.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,10/16/2017,Leicester City,West Brom
2187,Islam Slimani,19.0,dz ALG,FW,29-120,16.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,5.0,2.0,40.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,10/16/2017,Leicester City,West Brom
2188,Marc Albrighton,11.0,eng ENG,LM,27-332,90.0,1.0,1,0.0,1.0,0.0,0.0,0.0,,0.0,15.0,5.0,33.3,8.0,4.0,3.0,1.0,0.0,0.0,1.0,2,,0.0,0.0,10/16/2017,Leicester City,West Brom
2189,Riyad Mahrez,26.0,dz ALG,RM,26-237,90.0,3.0,1,2.0,1.0,0.0,0.0,3.0,0.0,3.0,19.0,6.0,31.6,7.0,9.0,3.0,1.0,0.0,0.0,1.0,0,,0.0,0.0,10/16/2017,Leicester City,West Brom
2190,Wilfred Ndidi,25.0,ng NGA,DM,20-304,90.0,6.0,3,1.0,4.0,1.0,4.0,5.0,80.0,1.0,24.0,7.0,29.2,4.0,15.0,5.0,1.0,0.0,0.0,1.0,0,,1.0,0.0,10/16/2017,Leicester City,West Brom
2191,Vicente Iborra,21.0,es ESP,DM,29-273,90.0,1.0,1,1.0,0.0,0.0,1.0,2.0,50.0,1.0,18.0,7.0,38.9,6.0,10.0,2.0,3.0,1.0,0.0,2.0,0,,1.0,0.0,10/16/2017,Leicester City,West Brom
2192,Andy King,10.0,wal WAL,DM,28-352,,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,10/16/2017,Leicester City,West Brom
2193,Christian Fuchs,28.0,at AUT,LB,31-192,90.0,7.0,5,6.0,1.0,0.0,1.0,3.0,33.3,2.0,22.0,6.0,27.3,11.0,9.0,2.0,3.0,0.0,0.0,3.0,2,,1.0,0.0,10/16/2017,Leicester City,West Brom
2194,Harry Maguire,15.0,eng ENG,CB,24-225,90.0,3.0,3,2.0,1.0,0.0,1.0,1.0,100.0,0.0,6.0,5.0,83.3,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1,,1.0,0.0,10/16/2017,Leicester City,West Brom
2195,Wes Morgan,5.0,jm JAM,CB,33-268,90.0,1.0,1,1.0,0.0,0.0,0.0,0.0,,0.0,11.0,4.0,36.4,8.0,2.0,1.0,3.0,0.0,0.0,3.0,0,,1.0,0.0,10/16/2017,Leicester City,West Brom
2196,Danny Simpson,2.0,eng ENG,RB,30-285,74.0,1.0,1,1.0,0.0,0.0,1.0,2.0,50.0,1.0,9.0,5.0,55.6,7.0,0.0,2.0,1.0,0.0,0.0,1.0,3,,3.0,0.0,10/16/2017,Leicester City,West Brom
2197,Ben Chilwell,3.0,eng ENG,RB,20-299,16.0,1.0,0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,4.0,1.0,25.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0,,0.0,0.0,10/16/2017,Leicester City,West Brom
2198,Kasper Schmeichel,1.0,dk DEN,GK,30-345,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,10/16/2017,Leicester City,West Brom
2199,SalomÃ³n RondÃ³n,9.0,ve VEN,FW,28-030,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,18.0,8.0,44.4,1.0,10.0,7.0,1.0,0.0,0.0,1.0,0,,0.0,0.0,10/16/2017,West Brom,Leicester City
2200,Nacer Chadli,22.0,be BEL,LW,28-075,84.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,14.0,3.0,21.4,4.0,6.0,4.0,2.0,0.0,0.0,2.0,0,,0.0,0.0,10/16/2017,West Brom,Leicester City
2201,Gareth McAuley,23.0,nir NIR,LW,37-315,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.0,0.0,10/16/2017,West Brom,Leicester City
2202,Jay Rodriguez,19.0,eng ENG,RW,28-079,84.0,1.0,1,1.0,0.0,0.0,0.0,2.0,0.0,2.0,22.0,5.0,22.7,9.0,8.0,5.0,5.0,1.0,0.0,4.0,2,,3.0,0.0,10/16/2017,West Brom,Leicester City
2203,James McClean,14.0,ie IRL,RW,28-177,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,1.0,25.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,10/16/2017,West Brom,Leicester City
2204,Gareth Barry,18.0,eng ENG,CM,36-235,90.0,1.0,1,0.0,0.0,1.0,1.0,2.0,50.0,1.0,15.0,4.0,26.7,6.0,6.0,3.0,3.0,0.0,0.0,3.0,0,,0.0,0.0,10/16/2017,West Brom,Leicester City
2205,Jake Livermore,8.0,eng ENG,CM,27-336,90.0,2.0,2,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,20.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,2,,3.0,0.0,10/16/2017,West Brom,Leicester City
