,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,KP,1/3,PPA,CrsPA,Prog,Date,Team,Opponent
3946,Mathew Ryan,1.0,au AUS,GK,25-238,90.0,19.0,26.0,73.1,735.0,462.0,3.0,3.0,100.0,4.0,4.0,100.0,12.0,19.0,63.2,0,0.0,0.0,0.0,0.0,0.0,0.0,12/02/2017,Brighton,Liverpool
3947,Roberto Firmino,9.0,br BRA,FW,26-061,88.0,29.0,36.0,80.6,347.0,63.0,17.0,23.0,73.9,7.0,8.0,87.5,1.0,1.0,100.0,0,0.0,0.0,1.0,2.0,0.0,3.0,12/02/2017,Liverpool,Brighton
3948,Dominic Solanke,29.0,eng ENG,FW,20-079,2.0,1.0,1.0,100.0,3.0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,12/02/2017,Liverpool,Brighton
3949,Mohamed Salah,11.0,eg EGY,FW,25-170,80.0,16.0,22.0,72.7,194.0,53.0,12.0,13.0,92.3,4.0,6.0,66.7,0.0,1.0,0.0,1,0.3,2.0,0.0,2.0,0.0,4.0,12/02/2017,Liverpool,Brighton
3950,Alex Oxlade-Chamberlain,21.0,eng ENG,FW,24-109,10.0,1.0,3.0,33.3,20.0,5.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,12/02/2017,Liverpool,Brighton
3951,Philippe Coutinho,10.0,br BRA,CM,25-173,90.0,41.0,51.0,80.4,672.0,196.0,14.0,17.0,82.4,17.0,22.0,77.3,5.0,7.0,71.4,2,0.6,3.0,4.0,0.0,0.0,3.0,12/02/2017,Liverpool,Brighton
3952,Jordan Henderson,14.0,eng ENG,CM,27-168,90.0,89.0,100.0,89.0,1716.0,413.0,31.0,33.0,93.9,38.0,42.0,90.5,16.0,20.0,80.0,0,0.0,0.0,12.0,1.0,0.0,8.0,12/02/2017,Liverpool,Brighton
3953,Marko GrujiÄ,16.0,rs SRB,CM,21-233,,2.0,2.0,100.0,50.0,19.0,0.0,0.0,,2.0,2.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,12/02/2017,Liverpool,Brighton
3954,James Milner,7.0,eng ENG,CM,31-332,90.0,64.0,72.0,88.9,1164.0,275.0,20.0,22.0,90.9,32.0,35.0,91.4,7.0,10.0,70.0,0,0.0,1.0,10.0,0.0,0.0,5.0,12/02/2017,Liverpool,Brighton
3955,Andrew Robertson,26.0,sco SCO,WB,23-266,90.0,29.0,37.0,78.4,394.0,126.0,13.0,14.0,92.9,14.0,16.0,87.5,0.0,3.0,0.0,0,0.0,0.0,0.0,1.0,0.0,2.0,12/02/2017,Liverpool,Brighton
3956,Trent Alexander-Arnold,66.0,eng ENG,WB,19-056,90.0,62.0,81.0,76.5,1010.0,316.0,28.0,32.0,87.5,30.0,39.0,76.9,2.0,5.0,40.0,0,0.0,1.0,2.0,0.0,0.0,7.0,12/02/2017,Liverpool,Brighton
3957,Georginio Wijnaldum,5.0,nl NED,CB,27-021,90.0,71.0,74.0,95.9,1477.0,247.0,25.0,26.0,96.2,33.0,35.0,94.3,12.0,12.0,100.0,0,0.0,1.0,4.0,0.0,0.0,0.0,12/02/2017,Liverpool,Brighton
3958,Dejan Lovren,6.0,hr CRO,CB,28-150,90.0,81.0,89.0,91.0,1742.0,440.0,16.0,16.0,100.0,48.0,49.0,98.0,15.0,22.0,68.2,0,0.0,0.0,2.0,0.0,0.0,1.0,12/02/2017,Liverpool,Brighton
3959,Emre Can,23.0,de GER,CB,23-324,90.0,83.0,90.0,92.2,1473.0,295.0,34.0,36.0,94.4,33.0,35.0,94.3,9.0,12.0,75.0,0,0.0,0.0,7.0,0.0,0.0,6.0,12/02/2017,Liverpool,Brighton
3960,Simon Mignolet,22.0,be BEL,GK,29-271,90.0,23.0,34.0,67.6,634.0,291.0,3.0,3.0,100.0,12.0,12.0,100.0,7.0,18.0,38.9,0,0.0,0.0,0.0,0.0,0.0,0.0,12/02/2017,Liverpool,Brighton
3961,Jamie Vardy,9.0,eng ENG,FW,30-325,90.0,9.0,18.0,50.0,154.0,6.0,3.0,6.0,50.0,4.0,8.0,50.0,1.0,2.0,50.0,0,0.0,0.0,1.0,0.0,0.0,0.0,12/02/2017,Leicester City,Burnley
3962,Demarai Gray,7.0,eng ENG,AM,21-157,88.0,17.0,29.0,58.6,190.0,12.0,9.0,13.0,69.2,5.0,9.0,55.6,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,12/02/2017,Leicester City,Burnley
3963,Shinji Okazaki,20.0,jp JPN,AM,31-230,2.0,4.0,4.0,100.0,48.0,32.0,3.0,3.0,100.0,1.0,1.0,100.0,0.0,0.0,,0,0.2,2.0,1.0,1.0,0.0,2.0,12/02/2017,Leicester City,Burnley
3964,Marc Albrighton,11.0,eng ENG,LM,28-014,90.0,29.0,51.0,56.9,543.0,192.0,15.0,19.0,78.9,5.0,8.0,62.5,8.0,21.0,38.1,0,0.2,2.0,4.0,0.0,0.0,2.0,12/02/2017,Leicester City,Burnley
3965,Riyad Mahrez,26.0,dz ALG,RM,26-284,90.0,40.0,54.0,74.1,782.0,325.0,16.0,17.0,94.1,18.0,23.0,78.3,4.0,11.0,36.4,0,0.2,4.0,4.0,5.0,0.0,11.0,12/02/2017,Leicester City,Burnley
3966,Vicente Iborra,21.0,es ESP,DM,29-320,90.0,26.0,37.0,70.3,595.0,124.0,6.0,13.0,46.2,14.0,15.0,93.3,6.0,8.0,75.0,0,0.1,1.0,2.0,0.0,0.0,4.0,12/02/2017,Leicester City,Burnley
3967,Wilfred Ndidi,25.0,ng NGA,DM,20-351,90.0,40.0,51.0,78.4,707.0,184.0,21.0,25.0,84.0,12.0,14.0,85.7,6.0,10.0,60.0,0,0.1,2.0,3.0,1.0,1.0,0.0,12/02/2017,Leicester City,Burnley
3968,Ben Chilwell,3.0,eng ENG,LB,20-346,90.0,45.0,65.0,69.2,656.0,314.0,26.0,28.0,92.9,18.0,29.0,62.1,1.0,6.0,16.7,0,0.1,1.0,5.0,0.0,0.0,3.0,12/02/2017,Leicester City,Burnley
3969,Harry Maguire,15.0,eng ENG,CB,24-272,90.0,30.0,37.0,81.1,749.0,389.0,11.0,13.0,84.6,10.0,13.0,76.9,9.0,10.0,90.0,0,0.0,0.0,4.0,0.0,0.0,2.0,12/02/2017,Leicester City,Burnley
3970,Wes Morgan,5.0,jm JAM,CB,33-315,90.0,28.0,32.0,87.5,648.0,259.0,8.0,10.0,80.0,14.0,15.0,93.3,6.0,7.0,85.7,0,0.0,1.0,1.0,2.0,0.0,3.0,12/02/2017,Leicester City,Burnley
3971,Danny Simpson,2.0,eng ENG,RB,30-332,90.0,46.0,57.0,80.7,802.0,388.0,23.0,26.0,88.5,17.0,18.0,94.4,5.0,10.0,50.0,0,0.0,0.0,1.0,0.0,0.0,3.0,12/02/2017,Leicester City,Burnley
3972,Kasper Schmeichel,1.0,dk DEN,GK,31-027,90.0,18.0,38.0,47.4,918.0,711.0,1.0,1.0,100.0,3.0,3.0,100.0,14.0,34.0,41.2,0,0.0,0.0,0.0,0.0,0.0,0.0,12/02/2017,Leicester City,Burnley
3973,Chris Wood,11.0,nz NZL,FW,25-360,74.0,14.0,19.0,73.7,191.0,34.0,10.0,12.0,83.3,4.0,5.0,80.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,12/02/2017,Burnley,Leicester City
3974,Sam Vokes,9.0,wal WAL,FW,28-042,16.0,2.0,4.0,50.0,36.0,7.0,0.0,1.0,0.0,2.0,3.0,66.7,0.0,0.0,,0,0.0,0.0,1.0,0.0,0.0,0.0,12/02/2017,Burnley,Leicester City
3975,Jeff Hendrick,13.0,ie IRL,AM,25-305,90.0,29.0,37.0,78.4,506.0,101.0,10.0,10.0,100.0,14.0,18.0,77.8,3.0,7.0,42.9,0,0.1,2.0,4.0,0.0,0.0,3.0,12/02/2017,Burnley,Leicester City
3976,Robbie Brady,12.0,ie IRL,LM,25-322,31.0,10.0,16.0,62.5,261.0,116.0,2.0,3.0,66.7,3.0,3.0,100.0,4.0,9.0,44.4,0,0.1,3.0,1.0,1.0,0.0,1.0,12/02/2017,Burnley,Leicester City
3977,Scott Arfield,37.0,ca CAN,LM,29-031,59.0,13.0,17.0,76.5,213.0,39.0,5.0,5.0,100.0,7.0,10.0,70.0,1.0,2.0,50.0,0,0.0,0.0,0.0,0.0,0.0,2.0,12/02/2017,Burnley,Leicester City
3978,Jack Cork,4.0,eng ENG,CM,28-160,90.0,33.0,43.0,76.7,592.0,186.0,13.0,17.0,76.5,18.0,20.0,90.0,2.0,5.0,40.0,0,0.0,1.0,4.0,0.0,0.0,4.0,12/02/2017,Burnley,Leicester City
3979,Steven Defour,16.0,be BEL,CM,29-231,66.0,36.0,44.0,81.8,833.0,143.0,7.0,7.0,100.0,19.0,22.0,86.4,9.0,14.0,64.3,0,0.0,0.0,6.0,0.0,0.0,3.0,12/02/2017,Burnley,Leicester City
3980,Ashley Barnes,10.0,eng ENG,CM,28-033,24.0,3.0,5.0,60.0,65.0,17.0,1.0,3.0,33.3,2.0,2.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,12/02/2017,Burnley,Leicester City
3981,JÃ³hann Berg GuÃ°mundsson,17.0,is ISL,RM,27-036,90.0,24.0,38.0,63.2,438.0,191.0,11.0,16.0,68.8,10.0,12.0,83.3,3.0,6.0,50.0,0,0.4,5.0,0.0,3.0,2.0,3.0,12/02/2017,Burnley,Leicester City
3982,Stephen Ward,23.0,ie IRL,LB,32-104,90.0,33.0,40.0,82.5,579.0,219.0,14.0,15.0,93.3,15.0,18.0,83.3,3.0,5.0,60.0,0,0.0,0.0,2.0,1.0,1.0,3.0,12/02/2017,Burnley,Leicester City
3983,Ben Mee,6.0,eng ENG,CB,28-070,90.0,29.0,45.0,64.4,610.0,283.0,12.0,15.0,80.0,13.0,16.0,81.3,4.0,11.0,36.4,0,0.0,0.0,2.0,0.0,0.0,3.0,12/02/2017,Burnley,Leicester City
3984,James Tarkowski,5.0,eng ENG,CB,25-013,90.0,22.0,35.0,62.9,591.0,118.0,5.0,7.0,71.4,11.0,14.0,78.6,6.0,14.0,42.9,0,0.0,0.0,0.0,0.0,0.0,0.0,12/02/2017,Burnley,Leicester City
3985,Phil Bardsley,26.0,sco SCO,RB,32-157,90.0,44.0,61.0,72.1,726.0,352.0,23.0,26.0,88.5,16.0,23.0,69.6,5.0,11.0,45.5,0,0.0,1.0,3.0,1.0,1.0,3.0,12/02/2017,Burnley,Leicester City
3986,Nick Pope,29.0,eng ENG,GK,25-227,90.0,18.0,30.0,60.0,803.0,560.0,0.0,0.0,,7.0,7.0,100.0,11.0,23.0,47.8,0,0.0,1.0,1.0,0.0,0.0,0.0,12/02/2017,Burnley,Leicester City
3987,Troy Deeney,9.0,eng ENG,FW,29-156,90.0,14.0,27.0,51.9,231.0,44.0,8.0,14.0,57.1,5.0,8.0,62.5,1.0,3.0,33.3,0,0.0,1.0,0.0,0.0,0.0,2.0,12/02/2017,Watford,Tottenham
3988,Richarlison,11.0,br BRA,LW,20-206,90.0,18.0,28.0,64.3,275.0,128.0,12.0,16.0,75.0,4.0,6.0,66.7,2.0,2.0,100.0,0,0.1,1.0,1.0,1.0,0.0,4.0,12/02/2017,Watford,Tottenham
3989,Roberto Pereyra,37.0,ar ARG,RW,26-329,67.0,13.0,18.0,72.2,171.0,26.0,12.0,13.0,92.3,0.0,0.0,,1.0,2.0,50.0,0,0.0,0.0,1.0,0.0,0.0,0.0,12/02/2017,Watford,Tottenham
3990,AndrÃ© Carrillo,28.0,pe PER,RW,26-171,23.0,16.0,24.0,66.7,247.0,68.0,9.0,13.0,69.2,6.0,7.0,85.7,1.0,4.0,25.0,0,0.2,1.0,0.0,1.0,1.0,0.0,12/02/2017,Watford,Tottenham
3991,Tom Cleverley,8.0,eng ENG,DM,28-112,88.0,31.0,44.0,70.5,753.0,160.0,10.0,14.0,71.4,12.0,15.0,80.0,9.0,15.0,60.0,1,0.0,1.0,4.0,1.0,0.0,3.0,12/02/2017,Watford,Tottenham
3992,Andre Gray,18.0,eng ENG,DM,26-159,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,12/02/2017,Watford,Tottenham
3993,Abdoulaye DoucourÃ©,16.0,fr FRA,DM,24-335,90.0,43.0,52.0,82.7,740.0,167.0,19.0,23.0,82.6,16.0,18.0,88.9,6.0,6.0,100.0,0,0.0,0.0,3.0,0.0,0.0,3.0,12/02/2017,Watford,Tottenham
3994,Marvin Zeegelaar,22.0,nl NED,"WB,LB",27-112,90.0,37.0,53.0,69.8,630.0,302.0,17.0,21.0,81.0,17.0,24.0,70.8,3.0,5.0,60.0,0,0.1,1.0,5.0,1.0,1.0,2.0,12/02/2017,Watford,Tottenham
3995,Kiko FemenÃ­a,21.0,es ESP,"WB,RB",26-303,90.0,40.0,51.0,78.4,511.0,210.0,29.0,32.0,90.6,9.0,13.0,69.2,0.0,4.0,0.0,0,0.0,1.0,3.0,0.0,0.0,1.0,12/02/2017,Watford,Tottenham
3996,Christian Kabasele,27.0,be BEL,CB,26-281,64.0,19.0,28.0,67.9,460.0,263.0,7.0,7.0,100.0,6.0,8.0,75.0,6.0,11.0,54.5,0,0.0,0.0,1.0,0.0,0.0,0.0,12/02/2017,Watford,Tottenham
3997,Ãtienne Capoue,29.0,fr FRA,AM,29-144,26.0,21.0,22.0,95.5,529.0,133.0,6.0,6.0,100.0,9.0,9.0,100.0,6.0,7.0,85.7,0,0.0,0.0,4.0,0.0,0.0,1.0,12/02/2017,Watford,Tottenham
3998,Sebastian PrÃ¶dl,5.0,at AUT,CB,30-164,90.0,29.0,35.0,82.9,690.0,163.0,8.0,11.0,72.7,14.0,16.0,87.5,7.0,7.0,100.0,0,0.0,0.0,3.0,0.0,0.0,1.0,12/02/2017,Watford,Tottenham
3999,Adrian Mariappa,6.0,jm JAM,CB,31-060,90.0,28.0,35.0,80.0,611.0,201.0,5.0,6.0,83.3,18.0,21.0,85.7,4.0,7.0,57.1,0,0.0,0.0,3.0,0.0,0.0,3.0,12/02/2017,Watford,Tottenham
4000,Heurelho Gomes,1.0,br BRA,GK,36-290,90.0,12.0,19.0,63.2,529.0,399.0,1.0,1.0,100.0,3.0,4.0,75.0,8.0,14.0,57.1,0,0.0,0.0,0.0,0.0,0.0,0.0,12/02/2017,Watford,Tottenham
4001,Son Heung-min,7.0,kr KOR,LW,25-147,77.0,11.0,16.0,68.8,142.0,28.0,8.0,10.0,80.0,3.0,4.0,75.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,12/02/2017,Tottenham,Watford
4002,Ãrik Lamela,11.0,ar ARG,LW,25-273,13.0,4.0,7.0,57.1,88.0,67.0,1.0,2.0,50.0,2.0,3.0,66.7,1.0,2.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,12/02/2017,Tottenham,Watford
4003,Harry Kane,10.0,eng ENG,FW,24-127,90.0,11.0,17.0,64.7,350.0,84.0,4.0,8.0,50.0,1.0,2.0,50.0,6.0,7.0,85.7,0,0.0,0.0,2.0,0.0,0.0,2.0,12/02/2017,Tottenham,Watford
4004,Christian Eriksen,23.0,dk DEN,"RW,CM",25-291,64.0,24.0,37.0,64.9,451.0,147.0,7.0,11.0,63.6,11.0,15.0,73.3,4.0,7.0,57.1,1,0.8,1.0,2.0,3.0,1.0,3.0,12/02/2017,Tottenham,Watford
4005,Moussa Sissoko,17.0,fr FRA,CM,28-108,26.0,5.0,7.0,71.4,75.0,24.0,2.0,2.0,100.0,3.0,5.0,60.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,12/02/2017,Tottenham,Watford
4006,Dele Alli,20.0,eng ENG,"AM,RW",21-235,86.0,29.0,31.0,93.5,478.0,135.0,16.0,16.0,100.0,10.0,10.0,100.0,3.0,3.0,100.0,0,0.1,1.0,2.0,0.0,0.0,3.0,12/02/2017,Tottenham,Watford
4007,Harry Winks,29.0,eng ENG,RW,21-303,4.0,3.0,4.0,75.0,62.0,18.0,1.0,1.0,100.0,1.0,2.0,50.0,1.0,1.0,100.0,0,0.0,0.0,1.0,0.0,0.0,1.0,12/02/2017,Tottenham,Watford
4008,Mousa DembÃ©lÃ©,19.0,be BEL,CM,30-139,90.0,48.0,56.0,85.7,842.0,257.0,23.0,25.0,92.0,19.0,23.0,82.6,5.0,6.0,83.3,0,0.0,0.0,4.0,0.0,0.0,5.0,12/02/2017,Tottenham,Watford
4009,Eric Dier,15.0,eng ENG,"CM,CB",23-321,90.0,42.0,57.0,73.7,1082.0,406.0,9.0,11.0,81.8,21.0,26.0,80.8,12.0,17.0,70.6,0,0.0,1.0,9.0,1.0,0.0,7.0,12/02/2017,Tottenham,Watford
4010,Ben Davies,33.0,wal WAL,LB,24-222,90.0,36.0,49.0,73.5,657.0,221.0,16.0,19.0,84.2,16.0,18.0,88.9,4.0,9.0,44.4,0,0.0,0.0,2.0,0.0,0.0,3.0,12/02/2017,Tottenham,Watford
4011,Jan Vertonghen,5.0,be BEL,CB,30-222,90.0,41.0,47.0,87.2,1062.0,425.0,9.0,9.0,100.0,15.0,18.0,83.3,17.0,20.0,85.0,0,0.0,0.0,3.0,0.0,0.0,6.0,12/02/2017,Tottenham,Watford
4012,Davinson SÃ¡nchez,6.0,co COL,"CB,DM",21-173,51.0,26.0,32.0,81.3,727.0,172.0,4.0,5.0,80.0,11.0,13.0,84.6,11.0,13.0,84.6,0,0.0,0.0,5.0,0.0,0.0,1.0,12/02/2017,Tottenham,Watford
4013,Kieran Trippier,2.0,eng ENG,RB,27-074,90.0,48.0,77.0,62.3,986.0,333.0,13.0,17.0,76.5,30.0,43.0,69.8,5.0,16.0,31.3,0,0.0,0.0,1.0,0.0,0.0,3.0,12/02/2017,Tottenham,Watford
4014,Hugo Lloris,1.0,fr FRA,GK,30-341,90.0,15.0,17.0,88.2,523.0,252.0,0.0,0.0,,6.0,6.0,100.0,9.0,11.0,81.8,0,0.0,0.0,0.0,0.0,0.0,0.0,12/02/2017,Tottenham,Watford
4015,Mame Biram Diouf,18.0,sn SEN,AM,29-351,90.0,8.0,15.0,53.3,86.0,25.0,7.0,10.0,70.0,1.0,4.0,25.0,0.0,0.0,,0,0.0,1.0,0.0,0.0,0.0,0.0,12/02/2017,Stoke City,Swansea City
4016,Peter Crouch,25.0,eng ENG,AM,36-306,90.0,28.0,44.0,63.6,362.0,71.0,20.0,28.0,71.4,6.0,12.0,50.0,1.0,1.0,100.0,1,0.2,2.0,1.0,2.0,0.0,2.0,12/02/2017,Stoke City,Swansea City
4017,Eric Maxim Choupo-Moting,10.0,cm CMR,LM,28-254,70.0,22.0,25.0,88.0,381.0,46.0,9.0,11.0,81.8,10.0,10.0,100.0,3.0,3.0,100.0,0,0.0,0.0,0.0,2.0,0.0,2.0,12/02/2017,Stoke City,Swansea City
4018,Ramadan Sobhi,32.0,eg EGY,LM,20-313,20.0,7.0,9.0,77.8,103.0,53.0,3.0,5.0,60.0,4.0,4.0,100.0,0.0,0.0,,0,0.1,1.0,0.0,0.0,0.0,0.0,12/02/2017,Stoke City,Swansea City
4019,Joe Allen,4.0,wal WAL,CM,27-263,90.0,31.0,37.0,83.8,528.0,71.0,11.0,13.0,84.6,15.0,16.0,93.8,4.0,6.0,66.7,1,0.4,2.0,2.0,1.0,0.0,2.0,12/02/2017,Stoke City,Swansea City
4020,Darren Fletcher,24.0,sco SCO,CM,33-304,70.0,31.0,34.0,91.2,805.0,265.0,12.0,13.0,92.3,8.0,8.0,100.0,11.0,13.0,84.6,0,0.0,0.0,6.0,1.0,0.0,1.0,12/02/2017,Stoke City,Swansea City
4021,Ibrahim Afellay,14.0,nl NED,CM,31-244,20.0,9.0,12.0,75.0,198.0,56.0,3.0,5.0,60.0,4.0,5.0,80.0,2.0,2.0,100.0,0,0.0,0.0,2.0,0.0,0.0,1.0,12/02/2017,Stoke City,Swansea City
4022,Xherdan Shaqiri,22.0,ch SUI,RM,26-053,90.0,37.0,45.0,82.2,883.0,231.0,9.0,11.0,81.8,16.0,17.0,94.1,10.0,14.0,71.4,0,0.3,4.0,2.0,2.0,1.0,2.0,12/02/2017,Stoke City,Swansea City
4023,Erik Pieters,3.0,nl NED,LB,29-117,90.0,49.0,63.0,77.8,1032.0,528.0,13.0,16.0,81.3,23.0,30.0,76.7,11.0,14.0,78.6,0,0.0,0.0,10.0,0.0,0.0,5.0,12/02/2017,Stoke City,Swansea City
4024,Bruno Martins Indi,15.0,nl NED,CB,25-297,53.0,27.0,31.0,87.1,577.0,191.0,6.0,8.0,75.0,16.0,17.0,94.1,5.0,6.0,83.3,0,0.0,0.0,1.0,0.0,0.0,0.0,12/02/2017,Stoke City,Swansea City
4025,Kevin Wimmer,5.0,at AUT,CB,25-017,37.0,8.0,15.0,53.3,232.0,129.0,2.0,3.0,66.7,4.0,8.0,50.0,2.0,2.0,100.0,0,0.0,0.0,1.0,0.0,0.0,0.0,12/02/2017,Stoke City,Swansea City
4026,Ryan Shawcross,17.0,eng ENG,CB,30-059,90.0,20.0,23.0,87.0,506.0,296.0,5.0,6.0,83.3,10.0,11.0,90.9,5.0,5.0,100.0,0,0.0,0.0,3.0,0.0,0.0,2.0,12/02/2017,Stoke City,Swansea City
4027,Kurt Zouma,6.0,fr FRA,RB,23-036,90.0,36.0,50.0,72.0,777.0,409.0,11.0,12.0,91.7,18.0,24.0,75.0,6.0,12.0,50.0,0,0.0,0.0,3.0,1.0,0.0,4.0,12/02/2017,Stoke City,Swansea City
4028,Jack Butland,1.0,eng ENG,GK,24-267,90.0,18.0,28.0,64.3,1044.0,792.0,0.0,0.0,,1.0,1.0,100.0,17.0,27.0,63.0,0,0.0,0.0,2.0,0.0,0.0,0.0,12/02/2017,Stoke City,Swansea City
4029,Wilfried Bony,2.0,ci CIV,FW,28-357,90.0,14.0,18.0,77.8,216.0,6.0,9.0,11.0,81.8,4.0,6.0,66.7,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,12/02/2017,Swansea City,Stoke City
4030,Tammy Abraham,10.0,eng ENG,FW,20-061,90.0,8.0,13.0,61.5,169.0,41.0,3.0,5.0,60.0,4.0,5.0,80.0,1.0,3.0,33.3,0,0.0,1.0,1.0,0.0,0.0,1.0,12/02/2017,Swansea City,Stoke City
4031,Jordan Ayew,18.0,gh GHA,AM,26-082,73.0,24.0,29.0,82.8,403.0,58.0,13.0,14.0,92.9,9.0,10.0,90.0,1.0,3.0,33.3,0,0.0,0.0,0.0,0.0,0.0,0.0,12/02/2017,Swansea City,Stoke City
4032,Oliver McBurnie,62.0,sco SCO,AM,21-181,17.0,8.0,9.0,88.9,148.0,2.0,1.0,1.0,100.0,7.0,8.0,87.5,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,12/02/2017,Swansea City,Stoke City
4033,Sam Clucas,17.0,eng ENG,CM,27-068,73.0,33.0,40.0,82.5,726.0,156.0,9.0,12.0,75.0,17.0,18.0,94.4,7.0,10.0,70.0,0,0.0,1.0,2.0,0.0,0.0,3.0,12/02/2017,Swansea City,Stoke City
4034,Tom Carroll,14.0,eng ENG,CM,25-188,17.0,10.0,20.0,50.0,130.0,43.0,8.0,10.0,80.0,2.0,5.0,40.0,0.0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,12/02/2017,Swansea City,Stoke City
4035,Leroy Fer,8.0,nl NED,CM,27-331,85.0,37.0,46.0,80.4,737.0,117.0,13.0,15.0,86.7,19.0,24.0,79.2,5.0,7.0,71.4,0,0.0,0.0,5.0,0.0,0.0,3.0,12/02/2017,Swansea City,Stoke City
4036,Renato Sanches,35.0,pt POR,CM,20-106,5.0,6.0,8.0,75.0,108.0,18.0,4.0,4.0,100.0,1.0,3.0,33.3,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,12/02/2017,Swansea City,Stoke City
4037,Ki Sung-yueng,4.0,kr KOR,DM,28-312,90.0,58.0,68.0,85.3,1228.0,221.0,13.0,14.0,92.9,36.0,40.0,90.0,9.0,14.0,64.3,0,0.0,0.0,8.0,0.0,0.0,5.0,12/02/2017,Swansea City,Stoke City
4038,Martin Olsson,16.0,se SWE,LB,29-199,90.0,42.0,62.0,67.7,843.0,329.0,9.0,12.0,75.0,31.0,40.0,77.5,2.0,8.0,25.0,1,0.1,3.0,1.0,3.0,1.0,6.0,12/02/2017,Swansea City,Stoke City
4039,Alfie Mawson,6.0,eng ENG,CB,23-317,90.0,59.0,64.0,92.2,1571.0,578.0,9.0,9.0,100.0,31.0,35.0,88.6,19.0,20.0,95.0,0,0.0,0.0,4.0,0.0,0.0,3.0,12/02/2017,Swansea City,Stoke City
4040,Mike van der Hoorn,5.0,nl NED,CB,25-048,90.0,38.0,51.0,74.5,957.0,295.0,5.0,8.0,62.5,20.0,22.0,90.9,13.0,20.0,65.0,0,0.0,0.0,4.0,0.0,0.0,6.0,12/02/2017,Swansea City,Stoke City
4041,Kyle Naughton,26.0,eng ENG,RB,29-021,90.0,36.0,57.0,63.2,760.0,269.0,8.0,13.0,61.5,23.0,28.0,82.1,5.0,14.0,35.7,0,0.0,1.0,6.0,0.0,0.0,7.0,12/02/2017,Swansea City,Stoke City
4042,Åukasz FabiaÅski,1.0,pl POL,GK,32-228,90.0,17.0,27.0,63.0,568.0,353.0,1.0,1.0,100.0,9.0,9.0,100.0,7.0,17.0,41.2,0,0.0,0.0,1.0,0.0,0.0,0.0,12/02/2017,Swansea City,Stoke City
4043,Alexandre Lacazette,9.0,fr FRA,FW,26-188,90.0,18.0,33.0,54.5,261.0,40.0,11.0,18.0,61.1,5.0,9.0,55.6,1.0,3.0,33.3,0,0.1,2.0,0.0,1.0,0.0,2.0,12/02/2017,Arsenal,Manchester Utd
4044,Alexis SÃ¡nchez,7.0,cl CHI,"AM,LW",28-348,90.0,47.0,73.0,64.4,791.0,281.0,24.0,27.0,88.9,19.0,29.0,65.5,4.0,12.0,33.3,0,0.2,5.0,5.0,7.0,1.0,13.0,12/02/2017,Arsenal,Manchester Utd
4045,Mesut Ãzil,11.0,de GER,"AM,RW",29-048,90.0,98.0,118.0,83.1,1766.0,641.0,46.0,50.0,92.0,37.0,45.0,82.2,12.0,18.0,66.7,0,0.3,3.0,10.0,13.0,0.0,23.0,12/02/2017,Arsenal,Manchester Utd
4046,Granit Xhaka,29.0,ch SUI,"LM,CM",25-066,70.0,55.0,61.0,90.2,1108.0,350.0,19.0,21.0,90.5,25.0,25.0,100.0,9.0,12.0,75.0,0,0.6,2.0,7.0,1.0,0.0,7.0,12/02/2017,Arsenal,Manchester Utd
4047,Danny Welbeck,23.0,eng ENG,FW,27-006,20.0,15.0,16.0,93.8,233.0,23.0,6.0,7.0,85.7,7.0,7.0,100.0,1.0,1.0,100.0,0,0.0,0.0,0.0,1.0,0.0,1.0,12/02/2017,Arsenal,Manchester Utd
4048,Aaron Ramsey,8.0,wal WAL,"CM,DM",26-341,90.0,71.0,82.0,86.6,1153.0,325.0,36.0,38.0,94.7,28.0,35.0,80.0,6.0,7.0,85.7,1,0.6,3.0,9.0,3.0,0.0,8.0,12/02/2017,Arsenal,Manchester Utd
